sentiment,review
positive,Simples
negative,"Enquanto passeia pela cidade passa por este elemento arquitetónico. No entanto, como não está assinalado, pode passar despercebido assim como toas as fachadas cobertas de azulejos"
positive,Um espaço a visitar
positive,"As arcadas fazem-nos entrar no túnel do tempo, um espaço arquitectónico a apreciar. Desfrute deste espaço numa das esplanadas da praça."
positive,Pitoresca cidade
positive,"be ha é uma bela cidade medieval com ruas sinuosas e bela arquitetura. A praça principal com seus arcos, restaurantes e lojas é muito bonita assim como as ruas sinuosas."
