sentiment,review
positive,Crítica
negative,"Não   nos   dá     o mais importante, que é o   horário das missas. Esta informação é muito importante para quem é catolico."
positive,Igreja de referência
positive,Uma das igrejas mais centrais da cidade. Serve a freguesia de São João Batista. Referir  o seu coro bastante conhecido
