sentiment,review
negative,Preso político ???
positive,"Ficamos na dúvida se era homenagem aos presos políticos ou aos ET’s. Podia ser também uma baleia encalhada , mas aí estaria de pé , o que não fazia muito sentido . Mas fixe"
positive,Interessante
positive,"Monumento no centro da cidade, fácil de ver, mas dificil de relacionar com os pressos políticos. Não deixa de ser um bom monumento a visionar."
positive,Obra interessante
positive,Situada no centrinho de Beja . Pude conhecer já de noite indo para uma pizzaria da cidade. Vale a pena.
positive,Fácil de esquecer
positive,"Esta estátua é grande, mas não ficará na sua mente. Estrutura metálica simples preta. Difícil de obter a conexão com os presos políticos."
