Expressão, Frequência
'descobrimos o Pinguinhas', 0.005678836594714795
'domingo em Beja', 0.00597023229155261
'dificuldades em encontrar', 0.014114963311119349
'encontrar um restaurante', 0.014114963311119349
'restaurante aberto', 0.014114963311119349
'aberto ao domingo', 0.014114963311119349
'petiscos tipicamente alentejanos', 0.04188213776561573
'Beja', 0.05030484532821094
'Pinguinhas', 0.0607868920252255
'Tapas e petiscos', 0.09077198375544247
'nao desiludiram', 0.09077198375544247
'descobrimos', 0.09289452586286356
'descoberta', 0.09289452586286356
'petiscos tipicamente', 0.11186783262129249
'tipicamente alentejanos', 0.11186783262129249
'alentejanos que nao', 0.11186783262129249
'dificuldades', 0.11797671014185607
'encontrar', 0.11797671014185607
'restaurante', 0.11797671014185607
'aberto', 0.11797671014185607
'Recomendo varias visitas', 0.004459519546703961
'Dona Lucia', 0.016180823924905115
'Recomendo varias', 0.024764724554923075
'varias visitas', 0.03037886824651597
'visitas a Dona', 0.033877312226235294
'Dona', 0.06361087409789744
'Lucia', 0.0808652600360547
'abertos aos Domingos', 0.08341679147062611
'Beja sao', 0.09619492158720055
'Surpresa,o Pinguinhas', 0.09647195413805686
'ate a Dona', 0.12024151798153639
'Recomendo', 0.1407414467677645
'Pinguinhas', 0.15783059108564698
'varias', 0.17170673236456413
'visitas', 0.17170673236456413
'Estavamos em onda', 0.17894178344582315
'Domingos', 0.18393457286065468
'Beja', 0.20963790376123442
'onda de mudanca', 0.21244774858645843
'mudanca descobrimos', 0.21244774858645843
'fila de espera', 0.015465128052409167
'atender na esplanada', 0.015465128052409167
'completamente cheio', 0.02140921543860024
'empregado a atender', 0.02140921543860024
'desenvoltura evitaram descontentamento', 0.054615776484625435
'Apesar', 0.10519328464496844
'espera', 0.10519328464496844
'esplanada', 0.10519328464496844
'evitaram descontentamento', 0.12025258825090053
'completamente', 0.1447773057422032
'cheio', 0.1447773057422032
'fila', 0.1447773057422032
'empregado', 0.1447773057422032
'atender', 0.1447773057422032
'simpatia e desenvoltura', 0.1588666998905099
'desenvoltura evitaram', 0.1588666998905099
'sao bem servidas', 0.20785651292262122
'doses sao', 0.2704390918235917
'sobremesa tambem', 0.2754003999271723
'descontentamento', 0.2899204041465753
'Servico mesmo', 0.03465229800090378
'mesmo muito simpatico', 0.03465229800090378
'cheio e conseguiram', 0.0565406034156422
'conseguiram arranjar', 0.0565406034156422
'Servico', 0.1447773057422032
'simpatico', 0.1447773057422032
