Avaliacoes
"A televisao e o comando nao funcionavam muito bem."
"Otima localizacao."
"Adoramos tudo! Excelente localizacao, casa com todo o conforto e tudo que e necessario para uma magnifica estadia. Anfitriao muito simpatico. Recomendamos este alojamento."
"Nada a assinalar."
"A casa do Jardim tem uma excelente localizacao, perto de superficies comerciais e do centro da cidade, com estacionamento facil a porta. Casa com boas areas, camas confortaveis, cozinha bem equipada, patio espacoso nas traseiras com casa de maquinas."
"Nada a apontar"
"Sr. Luis muito atencioso e preocupado para que tudo esteja bem . Top"
"Simpatia, conforto e comodidade."
"Excelentes areas, muito higienico, bom espaco exterior e enorme simpatia do anfitriao"
"Nada a referir."
"Limpeza. Acomodacao. Area total da casa. Simpatia e disponibilidade do proprietario Sr. Luis Pontes"
"Excelente anfitriao, espaco muito limpo, optimas condicoes, localizacao perfeita. Espaco exterior muito agradavel. Recomendo a 200%"
"Nada a apontar"
"Gostei muito da casa. Gostei da localizacao. Gostei das ideias implementadas no restauro. Gostei da hospitalidade"
"Apartamento de cima nao tinha agua quente."
"Localizacao optima com bons acessos"
"Excelente relacao preco/qualidade. Casa muito bem  remodelada, limpa e com quase tudo a estrear. As camas sao super confortaveis.  Excelente para familia com filhos ou grupo de amigos. Proprietario simpatico e sempre disponivel. A voltar sem duvida."
"A Limpeza nao foi a melhor"
"De realcar a localizacao, zona muito tranquila e perto de tudo. Para alem disto, a prestabilidade e simpatia inigualavel do Sr.Luis."
