Avaliacoes
"O quarto n.211 nao se encontrava nas melhores situacoes, visto que o teto nao estava pintado, denunciando uma grande mancha de humidade por cima da TV."
"O peq.almoco foi excecional. A localizacao muito boa"
"A funcionaria muito profissional. Bom atendimento"
"Excelente pequeno almoco"
"Simpatia do staff"
"Estabelecimento muito asseado"
"casa de banho merece melhoramento"
"Bem localizado, no entanto necessita de um toque de conforto."
"Nao gostei da iluminacao do quarto, especialmente do WC"
"Do conforto da cama, da localizacao e do silencio"
"Hotel amplo, confortavel e bem localizado, com bom pequeno-almoco e Wifi gratuito."
"Nada a registar"
"Pequeno almoco excelente nao faltava nada. A simpatia dos colaboradores e de destacar."
"Casa de banho"
"Barulho da discoteca proxima do hotel"
"entre o pedido e o trazer o prato"
"Acessibilidade"
"Rececao"
"A vista para a piscina a varanda e o quarto tudo um espetaculo ."
"Achamos que ha pormenores a melhorar, tendo em conta tratar-se de um hotel 4 estrelas. A zona da tv nao estava limpa, nem foi limpa durante a nossa estadia. Receber o comando da tv envolto num plastico tambem nao me pareceu alinhado com a categoria de 4 estrelas. O pequeno almoco podia ter produtos regionais alentejanos."
"A localizacao era perto do centro e a acessos locais para visitar locais de interesse. O hotel e sossegado, os quartos bem insonorizados."
"O nosso quarto tinha vista privilegiada para o posto-de-combustivel e o cheiro por vezes fazia-se sentir, no entanto isso nao influenciou particularmente a nossa impressao do hotel. Por outro lado, o que de facto nos deixou pouco impressionados, foi o facto de a limpeza nao parecer ser muito criteriosa; a sanita nao estava bem limpa e os lencois, embora estivessem lavados e engomados, tinham alguns cabelos, com os quais nos deparamos ao abrir a cama. Creio que um olhar mais atento por parte do Housekeeping teria evitado esta situacao."
"O quarto era decentemente espacoso e tinha varanda. O espaco exterior esta bem cuidado, e passamos um bom bocado na piscina. O pequeno almoco e muito bom, com imensa variedade."
"Hotel agradavel, amplo e com um bom servico. O pequeno almoco e bom."
"O hotel e bom. Apenas 2 funcionarios. 1 na rececao e outro multifunctional. Bar e restaurante. As cadeiras disponiveis na piscina nao davam nem para 1/3 da capacidade do hotel. Deverao rever estas situacoes."
"Quarto bom. A rececionista fez o que pode. O funcionario do bar multiplicou-se por 3."
"Jantei no hotel- precos adequados, mas confecao da carne nao conseguida..."
"Hotel muito sossegado durante a minha estadia, bom pequeno almoco; funcionarios simpaticos."
"O pequeno almoco demasiado Industrializado... praticamente tudo o que se pode beber e de maquina. Estacionamento muito dificil!!!"
"Boa localizacao, quarto grande, bom Wi-Fi, muito canais de TV. O Hotel esta a necessitar de alguns ajustes, nomeadamente em melhorias no WC e alguma modernizacao geral. O Espaco da piscina e bom, mas existe pouco controlo que permite que algumas pessoas marquem lugares com toalhas e depois, descansadamente, vao tomar o pequeno-almoco (muito feio, mas o hotel nao deveria permitir). o A/C funciona muito bem. Alguma falta de cuidado na reposicao das toalhas de WC..."
"Quando estava a tomar banho, de repente a agua diminuia o caudal e ficava a escaldar. Era um processo ritmico que acontecia na hora que a maioria das pessoas estava a tomar banho (entre as 18-20h). Nas tentativas de utilizar a piscina, nao fui capaz de ficar muito tempo (menos de 2h) pois a quantidade enorme de moscas que existiam nao me deixavam ficar confortavel."
"Localizacao um pouco fora do centro de Beja, mas para um hotel daquele tamanho, era de esperar. Pequeno-almoco bom, com um staff simpatico, pronto a responder as nossas exigencias. Piscina razoavel, mas a agua um pouco fria. Corredores do quartos em alcatifa, o que abafava muito o som das pessoas a passar; excelente ideia."
"Bem localizado e com funcionarios simpaticos. Hotel descuidado com instalacoes que nao merecem as 4 estrelas"
"Funcionario do restaurante nada humilde."
"Tudo muito bom, hotel com muita qualidade. Destaco a simpatia e empatia do Senhor do Bar. O meu irmao esteve nas urgencias e so conseguimos chegar ao hotel as 22:30, o restaurante fecha as 22h. Fui va ver se ainda conseguiam arranjar algo para meu irmao. Um funcionario do restaurante nao demonstrou qualquer empatia e mandou ver se conseguia alguma sande no bar. Fui ao bar e o barman super simpatico e humilde foi a cozinha e conseguiu trazer me um jantar completo."
"Pequeno almoco digno de um cinco estrelas."
"A limpeza nao foi boa o quarto estava cheio de po. Foram limpar durante a estadia mas nao limparam nada ficou tudo igual. Um dos dias sem termos o papel na porta para arrumar o quarto entrou a empregada da limpeza as 9h da manha pelo quarto a dentro sem pedir desculpa. Essa empregada da limpeza era muito antipatica quando saimos do quarto perguntou muito arrogante entao nao vao sair hoje?  no qual respondemos de nao. Quando almocamos no hotel parecia que nos estavam a fazer um favor foram o pouco desagradaveis pois o que o senhor nos disse e que havia pouca comida pois tinha o grupo de 10 pessoas. De resto e um bom hotel na rececao sempre foram muito simpaticos."
"Os funcionarios da rececao super simpatico. A senhora que nos atendeu na chegada foi uma querida ajudou nos imenso."
"Adorei  tudo. A limpeza, o atendimento e a simpatia de todos."
"Wifi fraco, no quarto. Po a mais no chao do quarto."
"Ambiente acolhedor. Zona verde e piscina. Estacionamento facil."
"Toalhas de banho muito pequenas."
"Cama otima, almofadas e lencois idem. Pequeno almoco variado e muito bom. Piscina otima para um mergulho de fim de tarde. Regras sanitarias e de distanciamento bem aplicadas sem que nos sintamos invadidos. Voltamos em breve!"
"A zona da piscina e muito agradavel. Pequeno almoco excelente. Boa insonorizacao dos quartos."
