Avaliacoes
"Impecavel, desde o espaco, tudo muito organizado, super limpo a simpatia e acolhimento tao caloroso da D. Teresa e do Marido."
"Nada a apontar"
"Comodidades como piscina, barbecue, jardim e de um modo geral conforto. Tambem a  simpatia e disponibilidade dos anfitrioes."
"Gostei bastante da hospitalidade, da simpatia da dona Teresa e do senhor Ze, a casa era muito acolhedora bem como o espaco exterior, tivemos sempre a nossa privacidade mas estavam sempre disponiveis para o que fosse preciso."
"Nada a apontar."
"A casa e acolhedora e com uma decoracao soberba. A cozinha estava devidamente equipada assim como o espaco exterior. Os anfitrioes sao de uma enorme simpatia."
"Agradecer a dona Teresa e ao seu marido pela simpatia. Adoramos a estadia. A piscina era excelente (apesar do tempo nao ter ajudado)"
"Adorei os Anfitrioes, muitos prestaveis e simpatia extrema.. A casa super acolhedora, ideal para relaxar e desfrutar d a maravilhosa piscina.."
"Nao tenho nada de negativo a apontar!"
"Gostamos de tudo! A casa, a piscina, o tempo maravilhoso e especialmente a simpatia dos anfitrioes!"
"Gostei do alojamento muito limpo sossegado e a piscina privativa muito agradavel. Bem equipado. Anfitrioes muito simpaticos"
"NA"
"O Apartamento corresponde na realidade as fotos. Excelente Roupa de Cama. Limpeza Impecavel. Localizacao corresponde a descrita. Anfitriao Atento"
"Gostei de tudo"
"Tudo excelente"
"Casa grande e confortavel. Infelizmente passamos pouco tempo na casa mas recomendamos vivamente. Tem todas as comodidades necessarias."
"Simpatia da D. Teresa, casa com todas as comodidades e ideal para quem quer descansar. Limpeza e decoracao impecaveis. Nao esquecer a piscina com excelente exposicao solar (e so para nos!) e ainda TV com todos os canais infantis! Para regressar!"
"A casa era muito acolhedora, os donos eram extremamente simpaticos e acessiveis."
"Bela Piscina para combater o calor de beja"
"Casa muito confortavel e agradavel. Excelente para uma familia. Cumpriu todas as expectativas, principalmente na simpatia com que fomos recebidos. Pensamos voltar."
"Gostei, acima de tudo, da simpatia com que fomos recebidos. Tambem gostei do bom gosto e conforto."
"Alojamento inserido no mesmo espaco fisico da casa dos donos, a piscina fica entre as casas, o alojamento e a casa dos proprietarios. E desconfortavel e devia estar descrito nas caracteristicas do alojamento. Bem como devia indicar que os quartos nao sao no mesmo piso, algo que para quem tem filhos pequenos e dificil. Nunca estamos a vontade, libertos e relaxados, pois vamos com a ilusao de que e uma propriedade isolada, moradia com piscina, em que no maximo teremos vizinhos divididos por muros, mas nao, temos janelas que separam uma casa da outra, uma piscina no meio onde nao conseguimos estar mentalmente confortaveis. Alem disso a circulacao dos proprietarios no espaco que alugamos por X tempo tambem e muito desconfortavel. Nao esta correcto fazerem publicidade de algo que nao esta de acordo a realidade. Por muito simpaticos que as pessoas possam ser, vamos para uma moradia com piscina com intencao de ter privacidade e nao podemos. Intencao de mergulhar a noite, mas nao podemos porque nas janelas ao lado estao os proprietarios. Com intencao de deixar as boias na piscina, mas nao podemos porque a mesma nao e de utilizacao exclusiva. Com vontade de deixar as toalhas nas espreguicadeiras, mas nao podemos porque as mesmas estao encostadas as janelas da sala dos proprietarios."
"Alojamento limpo, bem decorado"
"Adorei a casa toda muito bem limpa,a piscina e os donos sao super simpaticos, prestaveis e muito acessiveis."
"Casa muito confortavel. Excelente para familias."
