Avaliações
"Todo o staff foi muito simpático!"
"do barulho nos corredores"
"do preço"
"Poderiam renovar os colchões das camas !"
"A falta de bens higiénicos, copo, shampo."
"Espaço exterior privado"
"A relação preço qualidade."
"O chão tinha bastante areia. E o pequeno almoço não era incrível comparado com outras pousadas de juventude."
"A localização é boa e em termos de qualidade/preço é satisfatória."
"Eram 23 horas e não conseguíamos reservar nenhum hotel e eles atenderam e mostraram toda a disponibilidade em nos acolher. Pequeno almoço simples mas farto."
"Localização."
"Uma vez que o quarto era para 6 pessoas penso que este devia estar equipado com mais tomadas electricas, o quarto so tinha uma tomada apesar da recepção disponibilizar uma tripla para resolver a situação."
"A organização dos balneàrios para o uso dos hospedes."
"De partilhar a casa de banho com pessoas de outro género. Não  me importo de partilhar a casa de banho com pessoas do meu género, mas se for uma casa de banho mista sinto-me desconfortável. De resto gostamos muito."
"Simpatia e disponibilidade dos empregados"
"A exceção das camas"
"Tudo"
"Não ter TV no quarto"
"Boa localização e o pequeno almoço é razoável"
"WC"
"Pequeno-almoço, funcionários sempre prestaveis e simpáticos"
"Muito bom em todos os aspectos!"
"Casa de banho partilhada mista, sem condições para o efeito"
"Localização e funcionários"
"Casas de banho sem diferenciação de género."
"Como estamos no verão e como as temperaturas estão muito elevadas é lamentável não haver água fria à disposição (pois nas casas de banho, a água fria, na realidade está quente), como por exemplo numa máquina. . Uma das camas do quarto fazia muito barulho!"
"Funcionários muito atenciosos. . Quarto (0.01) muito grande. . Tudo muito limpo."
"Quartos sem TV"
"Simpatia dos funcionários, comodidades."
"O barulho dos beliches...... A limpeza do chão da zona dos duches"
"Funcionários e area dos quartos"
"A simpatia do atendimento."
"Não se trata de não ter gostado, mas gostaria muito mais se a funcionária que serviu o pequeno almoço tivesse a mesma simpatia, disponibilidade e cordialidade das funcionárias da recepção."
"A simpatia das funcionárias da recepção"
"A simpatia na recepção, a limpeza, o pequeno almoço. Só passamos uma noite, mas foi uma noite agradável. Acho que podia ter uma TV no quarto"
