Avaliações
"Bom ambiente, excelente acolhimento e comida muito saborosa. Recomendo o bife de novilho maturado acompanhado pelas migas."
"A comida estava excelente e o atendimento foi muito simpático. Recomendo a presa ibérica, carne bastante saborosa."
