Restaurante,Tipo,Preco
A Montaria,"Snacks, Bebidas",8
Martinho's Bar,"Bebidas, Snacks",8
M 80,"Snacks, Pastelaria, Bebidas",8
Casa de Pasto Os Cacadores,"Snacks, Bebidas",8
Alendoce,"Snacks, Pastelaria",8
O Futuro,"Snacks, Bebidas",8
A Colmeia,"Snacks, Bebidas",8
O Pinto,"Snacks, Portuguesa",15
Cafe Vieira,"Snacks, Bebidas",8
Celibri,Portuguesa,20
Nova Era,"Snacks, Bebidas",8
Porta 15,"Bebidas, Petiscos",20
Spot24h Food and Drinks,"Snacks, Bebidas",8
Verdervilha,"Snacks, Bebidas, Portuguesa",20
Taberna 5 de Outubro,"Bebidas, Snacks",8
Seara de Pao,"Padaria, Pastelaria",8
Taberna Beira Torre,"Snacks, Bebidas",8
Tapitas,"Snacks, Bebidas",8
Pastelaria Santo Andre,"Padaria, Snacks",8
O Pita,"Snacks, Bebidas",8
Cafe C+S O Caricas,"Snacks, Bebidas",8
Boutique das 20 Bifanas,"Snacks, Bebidas",6
O Largo,"Snacks, Bebidas",8
Vegetariano,Vegetariana,25
