Avaliações
"Crítica"
"Não   nos   dá     o mais importante, que é o   horário das missas. Esta informação é muito importante para quem é catolico."
"Igreja de referência"
"Uma das igrejas mais centrais da cidade. Serve a freguesia de São João Batista. Referir  o seu coro bastante conhecido"
