Avaliações
"Janela mais conhecida da cidade"
"Para além de estar numa rua cheia de história, esta janela é, por si só, uma excelente mostra da arte que pode ser vista nesta cidade."
"Muito bonita"
"Enquanto percorre as ruas, acaba por passar por ela. No entanto, não ha qualquer indicação e pode ser dificil encontra-la."
