Avaliacoes
"As portas da cidade"
"Quem entra em Beja pelo cemiterio depara-se com esta bela ermida. Facil visitar por fora mas nao tendo a visita do seu interior."
"A primeira mesquita"
"Nos passamos por este predio no onibus enquanto iamos para o castelo. Aparentemente foi a primeira mesquita da regiao e um dos primeiros lugares de culto."
