sentiment,review
positive,"Mesmo muito bom! Super limpo e acolhedor. Desde a simpatia e profissionalismo do Paulo e da funcionária, ao pequeno almoço divinal, com iguarias feitas na hora e com doces caseiros! simplesmente maravilhoso!  Quase que nos sentimos em casa. Aconselho vivamente. A repetir."
positive,"Uma casa típica,  acolhedora e muito bem decorada com pormenores cheios de bom gosto e originalidade. Destaque para a localização super central e para a enorme simpatia e amabilidade dos anfitriões,  sobretudo do Paulo que  nos dedicou o seu tempo e atenção e nos serviu um belíssimo licor de Amora caseiro e Gin de marmelo!!  Pequeno almoço Excelente, dos melhores em quantidade e qualidade,  tudo feito com carinho e dedicação aos hóspedes!"
positive,"O espaço remodelado no centro histórico, com toda a comodidade imaginável. Acolhimento 5 estrelas,  pela simpatia e disponibilidade.  Os quartos são todos diferentes e cada um conta uma história da cidade de Beja.  Voltarei certamente!"
