Expressão, Frequência
'Ficamos', 0.09445310063452074
'sofa-cama', 0.10906278508237732
'vontade', 0.10906278508237732
'mezzanine', 0.1243208221784736
'cama', 0.1243208221784736
'superior', 0.1243208221784736
'entrada', 0.13063369124423052
'sino a entrada', 0.13937113055342362
'banheira e poliban', 0.19033943927409575
'jatos de hidromassagem', 0.19033943927409575
'engracado tocar', 0.2807412527820541
'tocar um sino', 0.2807412527820541
'usar uma chave', 0.2807412527820541
'equipados', 0.29831960387244255
'simples', 0.3302406866663846
'Zonas interiores', 0.3385008701888981
'piscina e acolhedora', 0.34437024245132847
'independentes', 0.34545840580773757
'relvado e espreguicadeiras', 0.3804480623057464
'poliban', 0.38249360949521555
'fotos nao retrata', 0.0039377701252923895
'fotos nao', 0.02444040131886091
'nao retrata', 0.02444040131886091
'realidade pois', 0.02444040131886091
'melhor', 0.11832839713460025
'fantastico para relaxar', 0.14078287609167653
'descansar o corpo', 0.14078287609167653
'fotos', 0.15445814601779795
'nao', 0.15445814601779795
'retrata', 0.15445814601779795
'realidade', 0.15445814601779795
'pois', 0.15445814601779795
'espaco fantastico', 0.20209238470399205
'espaco', 0.2165517433849578
'topo do bolo', 0.24111116103145508
'lago que envolve', 0.2999273361164108
'envolve a herdade', 0.2999273361164108
'cereja no topo', 0.2999273361164108
'relaxar', 0.31792627169887305
'descansar', 0.31792627169887305
'fizeram a reserva', 0.01102342308997801
'reserva do jantar', 0.01102342308997801
'informacoes e ate', 0.014772795717757978
'ate fizeram', 0.014772795717757978
'mexidos e ate', 0.0418655842708386
'causa da Pandemia', 0.04491947111234978
'praia fluvial,ver foto', 0.06522197226278516
'ate', 0.06970858241900958
'custo extra', 0.07983926204647829
'optimo', 0.09036788330426815
'limpeza e imaculada', 0.09059902866262722
'pequeno almoco', 0.09059902866262722
'ovos mexidos', 0.09059902866262722
'cafe expresso', 0.09059902866262722
'expresso sem custo', 0.09059902866262722
'pena termos', 0.09059902866262722
'termos que esperar', 0.09059902866262722
'servirem por causa', 0.09059902866262722
'ate um cafe', 0.09222761921407573
'prestaveis', 0.10441854312789402
'centro da cidade', 0.022361342530362965
'estrada do aerodromo', 0.022361342530362965
'cidade', 0.12969978899926474
'aerodromo', 0.12969978899926474
'remanso de paz', 0.16409684038031133
'atencao', 0.16863751153709924
'centro', 0.16863751153709924
'estrada', 0.16863751153709924
'preciso estar atento', 0.20602463398437898
'atento a entrada', 0.20602463398437898
'entrada para nao', 0.20602463398437898
'nao despistar-se', 0.20602463398437898
'sobras para estacionar', 0.20602463398437898
'localizado junto duma', 0.20868289865572764
'duma albufeirinha linda', 0.20868289865572764
'jardim', 0.26387990816366064
'junto duma albufeirinha', 0.26507925376502284
'localizado junto', 0.27836773216246413
'albufeirinha linda', 0.27836773216246413
'paz', 0.3410590847089338
'espaco acolhedor', 0.032650178154461015
'pequeno almoco', 0.05194530326821712
'amplo e limpo', 0.05194530326821712
'Espetacular', 0.08769110182754909
'simpatia do staff', 0.14875361527062964
'simpatia', 0.17781408754083983
