Expressão, Frequência
'jantamos no restaurante', 0.02479683237157745
'hotel', 0.04208544033567765
'Ficamos no hotel', 0.05730775511630671
'restaurante do hotel', 0.06701003597763983
'nao tinham carta', 0.08629049403786315
'estadia cruzamo-nos varias', 0.12036623430279693
'nao', 0.1261613006740323
'Ficamos', 0.12983547300489753
'tempos de Covid', 0.13003614655423995
'jantamos', 0.15555329534082557
'restaurante', 0.15555329534082557
'habito', 0.15555329534082557
'estadia', 0.1576820124448711
'estadia em hotel', 0.1581101293224574
'pessimo', 0.1589469393430652
'nomeadamente', 0.17156917373796646
'responsavel', 0.17156917373796646
'nao tinham', 0.17325152939007912
'estadia cruzamo-nos', 0.17944022506583854
'tinham carta', 0.17955390945187016
'atencao ao detalhe', 0.024947595447269863
'nao', 0.12766820387331995
'detalhe', 0.13939441530126093
'imensa', 0.17461504387987972
'atencao', 0.17461504387987972
'precisam ser reparados', 0.17991887675248733
'cortinas rasgadas', 0.21860899316286667
'rasgadas e banheiras', 0.21860899316286667
'banheiras sem tampao', 0.21860899316286667
'copos', 0.22782019335774759
'piscina', 0.24192462535091674
'qualquer', 0.26697681751058705
'tinham', 0.27590248371355613
'varios chapeus', 0.30357440043979034
'reparados', 0.36001679332598535
'chapeus de sol', 0.36483327206152866
'sol estao', 0.36483327206152866
'estao em mau', 0.36483327206152866
'mau estado', 0.36483327206152866
'estado de conservacao', 0.36483327206152866
'Recomendo este hotel', 0.012571559314626916
'acusticamente irrepreensivel', 0.01859446618045681
'quarenta graus centigrados', 0.072115470298114
'estao quarenta graus', 0.10360454189614123
'Recomendo', 0.11142476118001256
'hotel', 0.11142476118001256
'acusticamente', 0.11142476118001256
'agradavel', 0.11142476118001256
'centro de Beja', 0.13624076804587806
'almoco e regular', 0.14005713113751553
'graus centigrados', 0.14005713113751553
'irrepreensivel', 0.16383273847958243
'Localizacao relativamente proxima', 0.172412864610806
'pequeno almoco', 0.19613242932716538
'piscina importante', 0.19613242932716538
'importante quando estao', 0.19613242932716538
'estao quarenta', 0.19613242932716538
'quarenta graus', 0.19613242932716538
'Localizacao relativamente', 0.23956129807083346
'Beja', 0.24084650495983298
'covid a solta', 0.05399751691895934
'optamos pela idade', 0.05399751691895934
'idade tranquila', 0.08674392660039242
'Beja Parque', 0.09062526387659768
'Beja', 0.13552623598635807
'Parque foi positiva', 0.1537927820614935
'tranquila de Beja', 0.1735381794160605
'semana', 0.1813335958522975
'solta', 0.1813335958522975
'optamos', 0.1813335958522975
'covid', 0.28252437819339554
'idade', 0.28252437819339554
'tranquila', 0.28252437819339554
'Parque', 0.3065634381205956
'escolha do Beja', 0.34061901750286294
'positiva', 0.43479823998462497
'Localizacao', 0.5284777684118839
'faceis', 0.5284777684118839
'Localizacao e parqueamento', 0.5429194122415881
'parqueamento faceis', 0.5429194122415881
'familia', 0.1884916597737887
'Hotel', 0.31155049070357954
'ferias', 0.3247519457904158
'super', 0.33476742050489094
'escolha', 0.3469610500916027
'Hotel acolhedor', 0.36093819397663596
'tranquilas em familia', 0.37386550229622273
'acolhedor', 0.42563369685040997
'confortavel', 0.42563369685040997
'multidoes', 0.42563369685040997
'Pequeno almoco', 0.48355027139760925
'Pequeno', 0.5191523503741804
'atenciosos', 0.5191523503741804
'super atenciosos', 0.5327798451472039
'Pequeno almoco bufet', 0.563402401131741
'ferias em familia', 0.5685725524994275
'Excelentes', 0.5864387404820173
'excelente', 0.5864387404820173
'Sentimos', 0.6016523290033401
'seguros', 0.6016523290033401
'Hotel Francis', 0.005284473686465452
'ficamos habitualmente', 0.016739850081232802
'hotel', 0.04671709411967789
'Francis', 0.05626093531780557
'amplas areas comuns', 0.05946467794743422
'Optamos', 0.11218833721946396
'habitualmente', 0.11218833721946396
'encerrado', 0.11218833721946396
'amplas areas', 0.12874974070448283
'espaco verde', 0.12874974070448283
'ficamos', 0.14675537191026278
'areas comuns', 0.16258826093205128
'pois o isolamento', 0.22173203852414858
'rua muito movimentada', 0.22173203852414858
'isolamento acustico', 0.2763749867010409
'acustico da janela', 0.2763749867010409
'janela nao', 0.2763749867010409
'Pequeno almoco', 0.29323232743029704
'regime de bufet', 0.29323232743029704
'agradavel', 0.30501210345782837
'pequeno almoco incluido', 0.004903466921627081
