Avaliações
"Visitei o restaurante pela primeira vez com a minha família e devo dizer que recomendo a 100%. O atendimento é excelente, a comida é melhor ainda, no meu caso que levei uma pessoa de idade que adorou o frango, todo o ambiente é casual e familiar, as sobremesas são super caseiras e recomendo o cheesecake e o leite creme. É ótimo para um ambiente com amigos, de facto um restaurante para voltar."
"Frango top, excelente molho bom ambiente. Local a visitar em beja. Boa relacao qualidafe preco. Recomendo"
"Otimo atendimento!! Comida com qualidade, ambiente muito agradável! Com direito a miminho especial  muito satisfeitos e com certeza é para voltar."
"Tive a oportunidade de visitar este local a conselho de um amigo e fiquei extremamente agradado com tudo!  A comida com variados pratos típicos, carnes e peixes de óptima qualidade e cozinhados e apresentados de maneira original é de fazer crescer água na boca. O serviço é outro dos pontos fortes, tive o prazer de ser servido pelo Sr. Zé, que profissionalismo e simpatia, extraordinário! Até breve e obrigado! Recomendo vivamente! Visitem!!!"
"Simpatia, preços acessíveis e refeições bastante agradáveis. Almoçámos na passagem por Beja e recomendamos"
"Excelente atendimento e comida . Espaço extremamente agradavel com musica calma de fundo. Sem duvida um sitio a repetir em beja!"
"Comida saborosa, staff simpático, espaço agradável! A voltar certamente! E para a próxima para provar o leite creme!"
"Comida boa, bom ambiente e ótimo serviço! Recomendo vivamente que visitem este espaço. Ideal para jantar com amigos"
"O atendimento é excelente desde a simpatia dos empregados até as refeições super bem servidas a condizer com uma óptima relação qualidade/preço. Recomendo vivamente."
"Excelente qualidade na comida, ótima apresentação do espaço e ambiente acolhedor. Staff muito simpático e disponível"
"Nada como um bom jantar após um dia de trabalho complicado... Staff super atencioso, comida maravilhosa....um bom sítio para jantar ou almoçar ... Ps: uma agradecimento a tatiana por esta sobermesa personalizada"
"Estavamos de passagem e adoramos este restaurante. Comida muito boa, preços acessíveis, bom espaço e de salientar a simpatia dos empregados e muito profissionais. Voltaremos com toda a certeza."
"Espaço muito agradável, bom atendimento e óptima comida. Fácil acesso e muito estacionamento junto ao restaurante."
"Excelente,bom atendimento, boa comida,restaurante a visitar para quem passa por Beja,preços acessíveis enfim tudo o que faz falta"
