Avaliacoes
"Gostei muito das bifanas, preferi as bifanas grelhadas mas as duas sao muito boas. Bom atendimento e muito simpaticos todos os funcionarios"
"Recomendo uma visita para provarem a deliciosa carne, tanto nas bifanas, como nos pregos e principalmente no pica pau.  Quanto ao atendimento da gerencia e de todo o staff muito obrigado, pela simpatia. Continuem assim."
"Otimo ambiente, lugar aconchegante e agradavel. Atendimento impecavel, encontrei uma Brasileira como atendente (Priscila), me fez me sentir mais em casa ainda com a atencao prestada e recepcao. Comida deliciosa, tudo fesquinho e saboroso."
"Boas bifanas , bom espaco  e bom atendimento 5 estrelas Recomendo Vamos voltar"
"Mas ha duvIdas?! As melhores bifanas, prontos as melhores da minha vida. E olha que ja tive em muitos sitios"
"Ca eu tive a real percepcao do que e uma excelente Bifana de verdade! Inesquecivel! Nada mais sera como antes e sempre terei ca como referencial nos outros sitios que irei de agora em diante!"
"As melhores bifanas de todo o sempre e mais alem! Atendimento espetacular, gente simpatica e comida deliciosa."
"Excelente local para comer umas boas bifanas, com qualidade de confeccao e atendimento. Muito bom. Recomendavel"
"Otimo atendimento, atendentes simpaticos, comida boa, lugar agradavel, voltaremos em breve. Obrigada"
"Otimo local para comer e ser bem servido! As melhores bifanas sao as bifanas do marinho Com toda a certeza e para voltar!!"
"Almoco depois das 15 horas Pedirmos o menu 1 e menu 2 para todos estava muito bom as batatas nao eram caseiras mas mesmo assim estavam muito boas Recomendo para quem quer comer rapido e fora de horas."
"As Bifanas sao excelentes, o pao torrado e a carne muito bem trabalhada. Variedade do menu vasto com varias opcoes de escolha."
"Excelente atendimento e agilidade! Para quem busca um lanche saboroso e tradicional rapido aqui voce tem essa otima opcao em Beja."
"Aconcelho a escolher o menu 2 vale a pena, muito bom e rapido acompanha com batatas fritas Excelente atendimento. Fora de horas, e do melhor"
"As bifanas sao excelentes e tem cervejas artesanais. O espaco e muito pequeno, portanto diria que a melhor opcao seria take-away. A relacao qualidade/preco e muito boa."
"Foi nos sugerido por colegas que ja frequentam o estabelecimento desde a sua abertura. Chegamos fora de horas, ja no fecho da cozinha, o que nao mudou em nada o excelente atendimento. Mesmo ha hora do fecho, fomos servidos com qualidade e sem faltar qualquer Bom dia CSPA16, Muito obrigado pela sua visita e pelas suas palavras. Estamos gratos pela sua recomendacao. Cumprimentos"
"Qualidade indiscutivel e um atendimento de excelencia. Simpatia e vontade de agradar o cliente caracterizam este espaco. Recomendo vivamente"
"Bifanas e pregos fantasticos. Pode optar pelos menus, que sao uma otima escolha, com uma relacao qualidade preco excelente. Atendimento rapido e eficaz. Uma excelente opcao para comer no local mas tambem em take away ou delivery. Recomendo vivamente!!"
"Agradavel surpresa. Na minha estadia em Beja, visitei 2 vezes as bifanas do Marinho. Optei as 2 vezes por menus de pregos e fiquei muito satisfeito com a qualidade, apresentacao e preco. O unico reparo sera melhorar a qualidade das batatas fritas."
"Muito bom, quem gosta de bigama ou prego no pao com os varios molhos. A visitar. Espaco pequenino mas acolhedor."
"Menus a um preco muito bom. Bifanas e pregos de porco preto com muita qualidade. Carne 5 estrelas.  Rapido atendimento"
"Muita simpatia e qualidade. Pao fresco e carne tenrinha e saborosa. Ideal para um fim de tarde ou ate mesmo um almoco rapido."
"Moramos perto e agora que descobri este cantinho vou repetir e varias vezes pois e bom e barato! Pedimos o menu 5 por 10.50 e vem com 3 pregos + 2 batatas + 2 bebidas. Chegamos pelo meio-dia e meia hora depois ja se fazia Boa tarde Tourist62809700117, Muito obrigado pela sua visita e pelas suas palavras! Menu 5, excelente escolha :) Grato pela recomendacao! Ate breve! Cumprimentos"
"Na volta das ferias, com os restaurantes a abarrotar pelo caminho, salvaram as Bifanas, que seria o unico estabelecimento aberto com refeicoes numa area de 50ms. La me desloquei a Beja, e caimos aqui, nesta zona industrial, famintos. Bom pao e bom bife! Tem menus Boa tarde DSeixo, Muito obrigado pela sua visita e pelas suas palavras! E muito gratificante tomar conhecimento de que o desvio de 40km foi compensado com as nossas bifanas :) Cumprimentos"
"Excelente surpresa. Bifanas muito saborosas, com muito boa apresentacao. Conceito interessante, feito com muita criatividade."
"Otima carne, num excelente ambiente e muito descontraido. Boa cerveja. Atendimento 5 estrelas... resulta num tempo bem passado em familia e num convivio espetacular. Recomendo plenamente!!"
"Excelente carne, num ambiente descontraido. Boa cerveja... resulta num tempo bem passado, convivio agradavel e uma refeicao excelente. Recomendo o prego a Marinho!"
"Excelentes Bifanas e pregos. Da melhor carne a excepcional confeccao passando pela sempre simpatica forma de atendimento que caracteriza este profissional. Parabens Mario."
"Bom sitio para se comer, espaco agradavel, bom atendimento e simpatia. Precos acessiveis e bifanas saborosas"
"Comida deliciosa!!! Estava em casa sem comer num belo fim de semana e como nao tinha nada para comer em casa e ja tinha ouvido falar das Bifanas do Marinho fui experimentar e fiquei muito satisfeito!! Recomendo vivamente"
"Muito bom mesmo, experiencia para voltar vezes sem conta. So ali indo e provando as excelentes bifanas. Bifanas maravilhosas, as melhores de Beja sem duvida, as batatas igualmente, para nao falar no convivio, o melhor turno e o da tarde deborah, Priscila e companhia, sao Boa tarde z_a290. Muito obrigado pela sua visita e pelas suas palavras. Gratos pela forma como descreveu a sua experiencia gastronomica! Ate breve! Cumprimentos"
"Um final de tarde convidativo para uma refeicao informal ao ar livre. Paramos nas Bifanas do Marinho. Excelente acolhimento e servico rapido. Uma deliciosa carne recheava os pregos e as fantasticas bifanas. Para beber, imperiais geladas e um bom vinho tinto. Por fim uma mousse Boa tarde Paula. Muito obrigado pela sua visita e pelas suas palavras. Gratos pela forma como descreveu a sua experiencia gastronomica! Cumprimentos"
"10:30 h e  sem tomar o pequeno almoco, com muita fome, referenciaram me as bifanas do marinho, vale a pena exprimentar. Recomendo vivamente o prego a marinho."
"Gostei do servico de atendimento, bifanas mesmo suculentas,  e grandes precos  a recomendar , e tambem  recomendado fora de horarios de restauracao"
"A melhor comida que comi ate hoje em Beja, atendimentos excelente comida 5* recomendo e voltarei sempre."
"Varios menus com pregos e bifanas de qualidade superior a um preco excelente. A simpatia e a qualidade da carne sao soberbas."
"De passagem por BEJA foi nos recomendado este espaco ' Bifanas do Marinho' simplesmente espetaculo, Quando voltar do Algarve de certeza que vamos parar novamente. Vale sempre a pena fazer desvio da estrada para o parque industrial de Beja Recomendo"
"Visitei o restaurante para jantar e fiquei deslumbrado, tanto com o espaco que tem uma zona interior com uma apresentacao excelente, e a zona exterior com uma esplanada. Existe sempre estacionamento.nas imediacoes, a comida e excelente, tanto as bifanas como os pregos e tambem o Boa tarde. Muito obrigado pela sua visita e pelas suas palavras, e principalmente pela forma como descreveu a sua experiencia. Ficamos a aguardar nova visita! :) Cumprimentos"
"Ambiente agradavel, bifanas otimas, excelente atendimento, um bom espaco a visitar, para os residentes ou mesmo para quem esta de passagem."
"Resolvemos passar pelas  bifanas do marinho, adoramos bifanas de porco preto muito boas. Recomendo o menu 1 Espetaculares"
"Excelente atendimento, as bifanas muito boas pois a carne e diferenciada e com alta qualidade.  Imperiais belissimas , so gostaria se dar uma sugestao acerca das batatas fritas ou seja gostava de sentir que eram caseiras, faz toda a diferenca, mas no geral adorei e Boa tarde. Muito obrigado pela sua visita e pelas suas palavras. Registamos a sua sugestao :) Cumprimentos"
"Muito bom! Fui no final da tarde e adorei o servico! Bifanas fantasticas e pregos ainda melhores! Parabens! Vou voltar :P"
"Almoco rapido Fora de horas e bem que fiquei surpreendido Mandei vir o menu 1 mais que suficiente com batatas fritas e 2 bifanas a marinho,.... Magnificas, espetaculares. Recomendo"
"Melhores bifanas e pregos que ja comi. O prego do lombo e exelente. Atendimento simpatico, por vezes tem alguma fila mas se fizer a encomenda um pouco antes de la chegar e mais rapido. Espaco exterior muito agradavel. Recomendo e vou voltar."
