Avaliações
"Tudo Bom. Pizza muitíssimo boa. Comi a Dona Maria, a rúcula e o parmesão dão aquele toque especial à Pizza. O camarão frito de entrada estava bom."
"A pizza estava muito mal confecionada. Salgada, ingredientes de baixa qualidade (azeitonas de lata) e aglomerados no centro da pizza. Tinha tanto molho de tomate que este neutralizava todos os outros sabores. Pedi sem um dos ingredientes (beringela) e veio à mesma. Pedi pizza desta pizzaria por engano. Pretendia da Dona Maria Deck. E logo na primeira dentada fiquei lamentavelmente aborrecida com o meu engano, porque a qualidade nada tem a ver. Experiência a não repetir."
"Distanciamento entre mesas não cumpria o exigido, nas minhas costas estava um cliente a no Max 50cm de distância. foi pedido uma salada sem um dos ingredientes, pedido que não foi atendido, além do que a salada demorou pelo menos uns 5 a 10m mais do que as pizzas. Empregado simpático mas pouco atento. Comida razoável para o valor cobrado."
"Fomos ao Dona Maria Deck, o espaço é TOP. Excelente esplanada. As refeições são de boa qualidade. O atendimento foi bom."
"Dos melhores sítios de Beja para Almoçar/Jantar! Boa relação qualidade:preço. É dos meus sítios preferidos para jantares de grupo ou com a família."
"Mesmo com pouca gente no restaurante e cinco funcionários estivemos mais de 45 minutos à espera alegadamente porque não saiu o talão com o nosso pedido, e meia hora depois lá deram conta. Curiosamente os outros pedidos saíram. As pizzas são aceitáveis, não recomendo. Há outra pizzaria ótima em Beja onde isto não acontece."
"Recomendo principalmente pela qualidade das pizzas. Espaço acolhedor no centro da cidade, Staff simpático e amigável, doses bem servidas, excelentes pizzas e preço muito razoável. 5 estrelas!"
"Pessoal staff, .. Arrogantes!! Imenso tempo de espera, .. sem interligação, .. pessoas conhecidas, passam há frente, .. sem lista de espera, .. esquecer @@@"
"Bom dia... Referente à sua avaliação sobre o staff não tem razão... 'ARROGANTES'????? Estão abertas vagas para o restaurante, estou a sua espera para iniciar já hoje, depois vou avaliar o seu desempenho para ver se tem capacidade para trabalhar ao nosso nível.... Aliás (Duvido)!!!! Espaço confortável (em particular na esplanada interior à sombra) mas pratos apenas razoáveis. Duas pessoas jantam bem por 20€."
"Se lá vão peçam apenas pizza. Devem ser razoáveis a avaliar pela adesão da clientela. Fujam das pastas o cozinheiro nem sabe o que isso é ou como se faz. Pedi uma carbonara, um prato que é 'igual"
"em todo o lado. Veio uma travessa com um kilo de fusilli com pedaços de fiambre semeados por cima, tudo afogado num pacote inteiro de nata líquida. As duas estrelas são para os empregados de mesa, simpáticos e atentos. Para a cozinha seguem zero estrelas."
"Fui com a minha família comer ao Dona Maria após ter visto fotos no tripadvisor e me ter chamado atenção. Bem.... para entrada pedimos um pao de alho que mais parecia a refeição ... no formato de pizza,  o que quase encheu. Como tínhamos pedido Excelente menu e ótimo atendimento. Gostei muito do serviço e do atendimento. Pessoal educado e a desempenhar um bom trabalho. Parabéns."
"Boa refeição num ambiente descontraído. Pizzas de muito boa qualidade. Possui explanada em pátio interior."
"Restaurante simpático com uma excelente relação qualidade preço. Serviço muito atencioso e rápido Doses descomunais e bem cozinhadas"
"Fui na passada quinta-feira ai restaurante Dona Maria, pedi uns secretos de porco preto, estavam muito saborosos, mas achei pouca a quantidade. No fim peço uma mousse de chocolate para sobremesa, a mousse devia ter mais de um mês de frigorífico, estava estalada e duríssima. Excelente relação qualidade preço. É sempre um grande prazer tomar uma refeição neste restaurante de excelente qualidade e localização."
"Vamos em família várias vezes. Já se tornou um dos nossos favoritos na cidade. Atendimento simpático e rápido. Bom ambiente. Qualidade dos produtos mantém o padrão, embora possa melhorar pequenos pormenores. Dois pontos negativos na última visita, que influenciam mais a experiência como um todo Cara Tour197711, Ficamos contentes por saber que fazemos parte do seu roteiro e preferência. Como deve compreender, os problemas na rede wi-fi podem ocorrer. No entanto a música podemos fazer qualquer coisa ;) Por sua recomendação iremos actualizar a playlist. Obrigado pela visita, esperamos por Não sei o que mudou no restaurante mas as pizzas eram maiores, mais bem condimentadas e mais deliciosas antes . Na minha opinião perdeu qualidade nos últimos meses."
"Obrigado pela sua opinião. Estaremos atentos a esses pormenores, decerto que será melhor na próxima visita."
"Gostei.... A salada Hawaii.... Uma delícia. A pizza das miúdas... Fantástica. Fui pelas opiniões e não desiludi.... Pelo menos desta vez"
