Avaliacoes
"Num bairro de Beja encontra-se este restaurante com esplanada e sala mediana. Carta com muitas sugestoes de entradas, petiscos e especialidades regionais, confeccionadas com respeito pelos sabores naturais. Cozinha de parabens! Sobremesas regionais ao melhor nivel. Servico regular. Boa relacao preco-qualidade. A repetir com gosto."
"Nao se deixem intimidar pelo aspecto do restaurante. Comida ao nivel de uma estrela Michelin. Bem confecionada, sabor maravilhoso. Nunca tinha comido umas costoletas de borrego tao boas. Tudo maravilhoso. Que dizer das sobremesas simplesmente espectaculares, diferentes e de sabor divinal. Doses que dao para..."
"duas pessoas, embora sendo individuais. Servico simpatico e pronto. O espaco nao e condizente com a delicia da comida. Aconselho vivamente para almocar ou jantar."
"Cozinhar divinamente, sem duvida e uma arte! Nivel de estrela Michelin e preco normal! So retiraria a TV da sala, mas isso faz parte da cultura portuguesa!!!"
"Restaurante com um ementa vasta e recheada de produtos de qualidade, as vieiras, o biqueirao sao exemplos de entradas excepcionais, o choco frito, os risotos, a vazia entre outros sao sempre boas opcoes, as sobremesas ficam sempre ao criterio do Sr Jose porque conta sempre..."
"com uma agradavel surpresa, nesta epoca tem um crunble de marmelo top"
"Fomos atendidos por Marcelo, grande conhecedor dos pontos turisticos e historicos de Beja. Os pratos tem otima apresentacao e sabor. Otima carta de vinhos. Recomendo."
"Simplesmente top.... comida excelente... funcionarios muito simpaticos.... e local muito agradavel para um bom momento em familia ou amigos."
"Comida e quantidade excelente. Preco adequado ao que e oferecido. So e pena a demora mas e compensada pelo repasto. Recomendo"
"Comida fabulosa! Gostei bastante do ambiente, do servico, da oferta gastronomica.  A marcacao da reseeva foi facil. Os pratos demoraram um pouco e ficamos perto da cozinha tendo saidobcom odor na roupa. Vou voltar seguramente."
"Uma surpresa muito, muito boa! Tudo 5 estrelas desde o atendimento a comida que se eleva a de um restaurante premium. Nao se deixem enganar pelo aspecto normal do restaurante porque tudo resto e excelente! Desde as entradas a sobremesa, os sabores apresentados sao surpreendentes..."
"e o preco muito acessivel! A garrafeira tambem dispoe de otimos vinhos com uma grande selecao. Quando voltar a visitar Beja voltarei de certeza "
"Se procuram uma refeicao sensacional, fugindo ao padrao da zona, mas tambem com pratos reconfortantes, este e um local a visitar, desde as entradas ate as sobremesas, passando pela vasta carta de vinhos, certamente nao se irao desiludir. Como ja mencionado 'nao se julgam os..."
"livros pelas capas'. Parabens para o chefe e toda a equipa."
"Tudo, mas mesmo tudo tocou na perfeicao,desde a simpatia e etiqueta do empregados, a oferta dos pratos e principalmente claro a confeccao dos mesmos - Divinal!!"
"Uma experiencia de sabores com o acompanhamento de um bom vinho. Quem ve por fora nao sabe o que perde. Restaurante com uma enorme garrafeira e de qualidade diga se de passagem. Staff atencioso. O emprego demonstro saber como eram feitos os pratos."
"Muito agradavel o jantar e o atendimento. Recomendo seriamente este estabelecimento. Experiencia para repetir com toda a certeza."
