sentiment,review
positive,Critica
negative,"Nao   nos   da     o mais importante, que e o   horario das missas. Esta informacao e muito importante para quem e catolico."
positive,Igreja de referencia
positive,Uma das igrejas mais centrais da cidade. Serve a freguesia de Sao Joao Batista. Referir  o seu coro bastante conhecido
