sentiment,review
positive,Uma Igreja Diferente
negative,"Observada do exterior logo notamos a diferenca: toda branca,integrada no chamadogotico-alentejano. No seu interior verificamos a existencia do estilo barroco e de uma extraordinaria Arvore de Jesse.E uma das igrejas mais antigas de Beja e um local de visita obrigatoria.recolher conteudo."
positive,A torre do relogio
positive,"Igreja muito bonita que, nao apenas pela sua atracao interior, nos presenteia com belas colunas na frente e uma torre altiva com um relogio e os sinos."
positive,Magnifico conjunto de azulejaria em recuperacao
positive,"Igreja Matrix de Beja, tem edificio contiguo com paineis de azulejos muito bonitos mas em restauro..."
