sentiment,review
positive,Arco
positive,"Um arco de uma construcao da epoca dos romanos. Vale a visita, pois na cidade ha muitas ruinas de construcoes da antiga epoca dos romanos."
positive,Portas de Moura
positive,"Mais um arco de uma antiga porta de acesso ao interior das muralhas. Contiguo a muralha principal permite continuar a subida em direccao a torre e uma visita ao interior do castelo, passando pela igreja de Santo Amaro"
positive,Bonito
negative,"Enquanto passeia pela cidade passa por este elemento arquitetonico. No entanto, como nao esta assinalado, pode passar despercebido."
positive,Nao sabia que esse arco era uma atracao.
positive,"Conheci esse arco, achei bem interessante, ate pq a cidade de Beja tem varios arcos. Mas esse com certeza e o mais lindo. Interessante ve ele aqui no Trip e saber que e algo historico e sua origem."
