sentiment,review
positive,Janela mais conhecida da cidade
positive,"Para alem de estar numa rua cheia de historia, esta janela e, por si so, uma excelente mostra da arte que pode ser vista nesta cidade."
positive,Muito bonita
negative,"Enquanto percorre as ruas, acaba por passar por ela. No entanto, nao ha qualquer indicacao e pode ser dificil encontra-la."
