Expressão, Frequência
'edificio e lindissimo', 0.04940384002065631
'lindissimo', 0.15831692877998726
'edificio', 0.29736558256021506
'camas tenham lencol', 0.016559150827736194
'alem do edredao', 0.02570861714399338
'tenham lencol', 0.04940384002065631
'camas tenham', 0.09700399286574239
'Gosto', 0.15831692877998726
'lencol', 0.15831692877998726
'alem', 0.15831692877998726
'edredao', 0.15831692877998726
'camas', 0.29736558256021506
'tenham', 0.29736558256021506
'Travesseiros', 0.12363091320521931
'morte', 0.12363091320521931
'pequena e antiga', 0.18075564686791562
'luz no banheiro', 0.2766850298235749
'antiga', 0.32883716426354986
'luz', 0.46553351027698087
'banheiro', 0.46553351027698087
'pequena', 0.46553351027698087
'Amei a sumptuosidade', 0.0934346755383478
'Amei', 0.2200560909321288
'sumptuosidade', 0.38831292435681075
'silencioso', 0.4949246952252326
'Cama', 0.5880798524606783
'confortavel', 0.5880798524606783
'firme', 0.7625957055371981
'Cama firme', 0.8131286944405928
'firme e confortavel', 0.8131286944405928
'gostei', 0.15831692877998726
'espaco da Pousada', 0.026233073037508336
'localizacao e espaco', 0.04940384002065631
'Pousada', 0.08596317751626563
'localizacao', 0.15831692877998726
'espaco', 0.29736558256021506
'Temperatura', 0.15831692877998726
'Globalmente', 0.15831692877998726
'Acessibilidade', 0.15831692877998726
'rececao', 0.29736558256021506
'Localizacao da pousada', 0.02570861714399338
'Localizacao', 0.15831692877998726
'pousada', 0.15831692877998726
'vista', 0.15831692877998726
'jardim', 0.15831692877998726
'arrumado demasiado', 0.050888965170882816
'servido com lentidao', 0.21339268578732606
'arrumado', 0.2200560909321288
'demasiado', 0.2200560909321288
'volta', 0.2200560909321288
'pequeno almoco', 0.32441639786848336
'almoco era servido', 0.32441639786848336
'Nota-se uma evidente', 0.35487136790899465
'lentidao', 0.3553358554145339
'Nota-se', 0.44538603402402266
'pessoal', 0.44538603402402266
'pequeno', 0.4949246952252326
'almoco', 0.4949246952252326
'servido', 0.4949246952252326
'evidente', 0.5880798524606783
'acolhedor e limpo', 0.011154056927717123
'extremamente acolhedor', 0.01552184797949213
'limpo', 0.08922538916412363
'tomei o pequeno-almoco', 0.09108482621177338
'comida de muita', 0.09108482621177338
'espaco e lindissimo', 0.09108482621177338
'jantei e tomei', 0.12124452117740256
'muita qualidade', 0.12124452117740256
'nao estivesse', 0.12124452117740256
'estivesse num bonito', 0.12124452117740256
'bonito convento', 0.12124452117740256
'extremamente', 0.12363091320521931
'acolhedor', 0.12363091320521931
'Adorei', 0.17881754828257995
'igualmente', 0.17881754828257995
'restaurante', 0.25386721785551913
'pequeno-almoco', 0.25386721785551913
'comida', 0.25386721785551913
'lindissimo', 0.25386721785551913
'seculos', 0.25386721785551913
'rede wi-fi', 0.019557279302732804
'iluminacao fraca', 0.02635223776265893
'wi-fi e fraca', 0.06177684479462527
'fraca', 0.09269208833952335
'rede', 0.1384995633470844
'wi-fi', 0.1384995633470844
'vista', 0.1384995633470844
'iluminacao', 0.1384995633470844
'pessoal especialmente rececao', 0.051970537142556714
'especialmente rececao', 0.10302256008155819
'amabilidade e simpatia', 0.19476136434145866
'pessoal especialmente', 0.19476136434145866
'rececao', 0.23133275159292982
'Comida excelente', 0.35350894161299157
'amabilidade', 0.4037484044059793
'simpatia', 0.4037484044059793
'pessoal', 0.4037484044059793
'especialmente', 0.4037484044059793
'Comida', 0.5110573480904945
'excelente', 0.5110573480904945
'Limpeza impecavel', 0.5732105463588063
'Limpeza', 0.6036200563782421
'impecavel', 0.6036200563782421
'dito', 0.6511101154454433
'gostei', 0.8076562869538214
'portanto', 0.8076562869538214
'portanto tudo dito', 1.109140327234087
'gostei portanto', 1.8761143471562864
