Expressão, Frequência
'agradavel', 0.12363091320521931
'amplo', 0.12363091320521931
'servico', 0.12363091320521931
'pequeno almoco', 0.2766850298235749
'pequeno', 0.46553351027698087
'almoco', 0.46553351027698087
'funcionarios', 0.2606577339217446
'hotel', 0.2915157949258876
'Bar e restaurante', 0.3867394095222266
'multifunctional', 0.4773022384731054
'Bar', 0.5280946721184738
'restaurante', 0.5280946721184738
'Deverao', 0.5841629632403182
'situacoes', 0.5841629632403182
'rececao', 0.5879345929012387
'cadeiras', 0.6662207649813989
'disponiveis', 0.6662207649813989
'piscina', 0.6662207649813989
'nao', 0.6662207649813989
'davam', 0.6662207649813989
'capacidade', 0.6662207649813989
'Deverao rever', 0.6703562054331049
'rever estas situacoes', 0.6703562054331049
'rever', 0.6870091487521112
'cadeiras disponiveis', 0.7980764067952248
'disponiveis na piscina', 0.7980764067952248
'rececionista', 0.4949246952252326
'funcionario do bar', 0.5286731219590494
'bar multiplicou-se', 0.5286731219590494
'funcionario', 0.5880798524606783
'bar', 0.5880798524606783
'multiplicou-se', 0.5880798524606783
'carne nao conseguida', 0.016559150827736194
'Jantei no hotel', 0.02570861714399338
'precos adequados', 0.02570861714399338
'nao conseguida', 0.04940384002065631
'confecao da carne', 0.09700399286574239
'carne nao', 0.09700399286574239
'Jantei', 0.15831692877998726
'hotel', 0.15831692877998726
'precos', 0.15831692877998726
'adequados', 0.15831692877998726
'conseguida', 0.15831692877998726
'confecao', 0.29736558256021506
'carne', 0.29736558256021506
'nao', 0.29736558256021506
'funcionarios simpaticos', 0.02570861714399338
'Hotel muito sossegado', 0.04940384002065631
'pequeno almoco', 0.04940384002065631
'sossegado durante', 0.09700399286574239
'Hotel', 0.15831692877998726
'estadia', 0.15831692877998726
'almoco', 0.15831692877998726
'funcionarios', 0.15831692877998726
'simpaticos', 0.15831692877998726
'sossegado', 0.29736558256021506
'durante', 0.29736558256021506
'pequeno', 0.29736558256021506
'almoco demasiado Industrializado', 0.0036274557725306843
'pequeno almoco demasiado', 0.012164019732225138
'demasiado Industrializado', 0.015530258124008545
'pequeno almoco', 0.050888965170882816
'almoco demasiado', 0.050888965170882816
'Industrializado', 0.06949481646017519
'pequeno', 0.2200560909321288
'almoco', 0.2200560909321288
'demasiado', 0.2200560909321288
'Estacionamento muito dificil', 0.24745631075091173
'praticamente', 0.3553358554145339
'maquina', 0.3553358554145339
'Estacionamento', 0.44538603402402266
'dificil', 0.44538603402402266
'beber', 0.4949246952252326
'hotel nao deveria', 0.13533142301235443
'localizacao', 0.13870665738117263
'Wi-Fi', 0.13870665738117263
'Hotel', 0.14229237894241473
'hotel nao', 0.17599543070971552
'canais', 0.17978976992892315
'Espaco da piscina', 0.18280743114325237
'nomeadamente em melhorias', 0.18348864806959084
'alguma', 0.23862763624931815
'nao deveria permitir', 0.24856229125729157
'alguma modernizacao', 0.2599009681853431
'toalhas', 0.2645376611289265
'algumas pessoas marquem', 0.2718698719647387
'Espaco', 0.29389735609697376
'vao tomar', 0.3091064104523832
'tomar o pequeno-almoco', 0.3091064104523832
'deveria permitir', 0.3091064104523832
'pessoas marquem lugares', 0.31531522268666773
'algumas pessoas', 0.33507344937817307
'ajustes', 0.3586941977550464
'tomar banho', 0.010305734710456966
'ficava a escaldar', 0.014979662163430787
'repente a agua', 0.018486216325001772
'agua diminuia', 0.018486216325001772
