sentiment,review
positive,Uma Igreja Diferente
negative,"Observada do exterior logo notamos a diferença: toda branca,integrada no chamadogótico-alentejano. No seu interior verificamos a existência do estilo barroco e de uma extraordinária Árvore de Jessé.É uma das igrejas mais antigas de Beja e um local de visita obrigatória.recolher conteúdo."
positive,A torre do relógio
positive,"Igreja muito bonita que, não apenas pela sua atração interior, nos presenteia com belas colunas na frente e uma torre altiva com um relógio e os sinos."
positive,Magnífico conjunto de azulejaria em recuperação
positive,"Igreja Matrix de Beja, tem edifício contíguo com painéis de azulejos muito bonitos mas em restauro..."
