0,1,2,3,4
33,abril,2011,cidade,0.12337798951685604
33,abril,2011,principais problemas,0.14098498573278512
33,abril,2011,antigo,0.14803431607464865
33,abril,2011,predio,0.14803431607464865
33,abril,2011,realmente,0.14803431607464865
33,abril,2011,enorme,0.14803431607464865
35,maio,2011,Simplicidade e natureza,0.012672712269332037
35,maio,2011,herdade vinicola,0.01747509953455014
35,maio,2011,podia esperar,0.02414075901020373
35,maio,2011,esperar de melhor,0.02414075901020373
35,maio,2011,melhor num hotel,0.02414075901020373
35,maio,2011,hotel inserido,0.02414075901020373
35,maio,2011,inserido numa herdade,0.02414075901020373
35,maio,2011,mesmo tempo simples,0.06435696542611986
35,maio,2011,Simplicidade,0.11186654715268884
35,maio,2011,natureza,0.11186654715268884
35,maio,2011,vinicola,0.11186654715268884
35,maio,2011,tempo simples,0.13329355853485683
35,maio,2011,vontade possivel,0.13329355853485683
35,maio,2011,podia,0.15353084316509127
35,maio,2011,esperar,0.15353084316509127
35,maio,2011,melhor,0.15353084316509127
35,maio,2011,hotel,0.15353084316509127
35,maio,2011,inserido,0.15353084316509127
35,maio,2011,herdade,0.15353084316509127
35,maio,2011,mesmo tempo,0.1755943382560148
2,agosto,2011,Beja cidade.Ideal tambem,0.0009123104856698896
2,agosto,2011,Historia de Portugal,0.003186830720042235
2,agosto,2011,abrangente de Beja,0.007743432063478832
2,agosto,2011,Beja cidade.Ideal,0.007743432063478832
2,agosto,2011,gosta da Historia,0.007743432063478832
2,agosto,2011,vista ampla,0.013527995261974617
2,agosto,2011,ampla e abrangente,0.013527995261974617
2,agosto,2011,cidade.Ideal tambem,0.013527995261974617
2,agosto,2011,Portugal,0.04776309965539685
2,agosto,2011,Beja,0.06650965107397505
2,agosto,2011,Historia,0.06650965107397505
2,agosto,2011,Nao,0.0771485953923296
2,agosto,2011,admirar,0.1155310835876123
2,agosto,2011,monumento,0.1155310835876123
2,agosto,2011,vista,0.1155310835876123
2,agosto,2011,ampla,0.1155310835876123
2,agosto,2011,abrangente,0.1155310835876123
2,agosto,2011,cidade.Ideal,0.1155310835876123
2,agosto,2011,tambem,0.1155310835876123
2,agosto,2011,gosta,0.1155310835876123
7,agosto,2011,sitio senao estiverem,0.03339840940482845
7,agosto,2011,estiverem com atencao,0.04940384002065631
7,agosto,2011,sitio senao,0.0970039928657424
7,agosto,2011,senao estiverem,0.0970039928657424
7,agosto,2011,Chegados,0.15831692877998726
7,agosto,2011,atencao,0.15831692877998726
7,agosto,2011,sitio,0.29736558256021506
7,agosto,2011,senao,0.29736558256021506
7,agosto,2011,estiverem,0.29736558256021506
34,agosto,2011,Vila Gale,0.004775608344445309
34,agosto,2011,varios Hoteis,0.01066960029031436
34,agosto,2011,Hoteis da zona,0.01066960029031436
34,agosto,2011,visitar este Vila,0.01066960029031436
34,agosto,2011,bela Gastronomia Alentejana,0.016366303247722532
34,agosto,2011,havia estado,0.024011716174481577
34,agosto,2011,estado em varios,0.024011716174481577
34,agosto,2011,surgiu a oportunidade,0.024011716174481577
34,agosto,2011,oportunidade de visitar,0.024011716174481577
34,agosto,2011,tinha saltado,0.024011716174481577
34,agosto,2011,saltado a vista,0.024011716174481577
34,agosto,2011,Gastronomia Alentejana,0.0371966783737041
34,agosto,2011,Hoteis,0.06894135410859013
34,agosto,2011,Vila,0.06894135410859013
34,agosto,2011,Gale,0.06894135410859013
34,agosto,2011,bela Gastronomia,0.08566876140974641
34,agosto,2011,tempo nao ajudasse,0.13660585124489277
34,agosto,2011,Tranquilidade,0.14508705128427654
34,agosto,2011,havia,0.1531295963778707
34,agosto,2011,estado,0.1531295963778707
2,setembro,2011,Bela VistaTorre,0.04940384002065631
2,setembro,2011,menagem do castelo,0.04940384002065631
2,setembro,2011,VistaTorre de menagem,0.0970039928657424
2,setembro,2011,Bela,0.15831692877998726
2,setembro,2011,castelo,0.15831692877998726
2,setembro,2011,VistaTorre,0.29736558256021506
2,setembro,2011,menagem,0.29736558256021506
33,novembro,2011,valor ao dinheiro,0.03276649836967783
33,novembro,2011,hotel de luxo,0.04471240484574008
33,novembro,2011,Nao,0.12383532584126634
33,novembro,2011,dinheiro,0.15336005380781634
33,novembro,2011,esperar,0.2068786334087069
33,novembro,2011,hotel,0.2068786334087069
33,novembro,2011,luxo,0.2068786334087069
33,novembro,2011,valor,0.2068786334087069
33,novembro,2011,historico e interessantes,0.22481882079754328
33,novembro,2011,nao luxuosos,0.23652937395675097
33,novembro,2011,locais em Portugal,0.2883053924356416
33,novembro,2011,edificio historico,0.29186894019416876
33,novembro,2011,luxo e nao,0.30022156715621157
33,novembro,2011,nao o valor,0.30022156715621157
33,novembro,2011,Portugal,0.3621401835030747
33,novembro,2011,interessantes,0.3861678393139769
33,novembro,2011,luxuosos,0.3861678393139769
33,novembro,2011,edificio,0.4753184937042408
33,novembro,2011,historico,0.4753184937042408
33,novembro,2011,fato,0.47823518742170856
2,fevereiro,2012,Renovado castelo,0.02570861714399338
2,fevereiro,2012,Renovado,0.15831692877998726
2,fevereiro,2012,castelo,0.15831692877998726
2,abril,2012,manutencao excelente,0.0970039928657424
2,abril,2012,posto turistico,0.0970039928657424
2,abril,2012,manutencao,0.29736558256021506
2,abril,2012,excelente,0.29736558256021506
2,abril,2012,posto,0.29736558256021506
2,abril,2012,turistico,0.29736558256021506
33,abril,2012,Vila Vicosa Pousadas.Otimas,0.0004997893561645329
33,abril,2012,Vicosa Pousadas.Otimas promocoes,0.001172158707046767
33,abril,2012,Estremoz e Vila,0.003569352254153131
33,abril,2012,Vila Vicosa,0.003569352254153131
33,abril,2012,rota para Estremoz,0.008289189427994594
33,abril,2012,Vicosa Pousadas.Otimas,0.008289189427994594
33,abril,2012,promocoes na semana,0.01760387181207444
33,abril,2012,Pousadas.Otimas promocoes,0.019370641736282355
33,abril,2012,excelente Pousada,0.039735628815089775
33,abril,2012,Estremoz,0.0596377170206297
33,abril,2012,Vila,0.0596377170206297
33,abril,2012,Vicosa,0.0596377170206297
33,abril,2012,Ana Martins,0.08657101146319109
33,abril,2012,Pousada,0.09241233961660744
33,abril,2012,Lizacao gracas Pousada,0.0928010447294179
33,abril,2012,Sao,0.11196405252913008
33,abril,2012,Pousada na rota,0.1165802086168742
33,abril,2012,Sao Francisco,0.12488070083599716
33,abril,2012,Passamos,0.12549415628885496
33,abril,2012,semana,0.12549415628885496
34,abril,2012,sossego possivel,0.011308416403724346
34,abril,2012,optima opcao,0.011308416403724346
34,abril,2012,isolado com vista,0.013996409987250024
34,abril,2012,vista a obter,0.013996409987250024
34,abril,2012,pareceu-me uma optima,0.013996409987250024
34,abril,2012,hotel pareceu-me,0.03109626584446683
34,abril,2012,casa que fosse,0.09241823628962936
34,abril,2012,continuei a achar,0.09241823628962936
34,abril,2012,centro do Alentejo,0.09327869751516572
34,abril,2012,Procurando,0.09517613208233132
34,abril,2012,possivel,0.09517613208233132
34,abril,2012,opcao,0.09517613208233132
34,abril,2012,varios quilometros,0.11106970665896491
34,abril,2012,achar que tinha,0.11106970665896491
34,abril,2012,tinha escolhido,0.11106970665896491
34,abril,2012,isolado,0.11748708242799295
34,abril,2012,vista,0.11748708242799295
34,abril,2012,obter,0.11748708242799295
34,abril,2012,sossego,0.11748708242799295
34,abril,2012,pareceu-me,0.11748708242799295
2,maio,2012,CasteloCastelo muito bonito,0.015380821171891606
2,maio,2012,planicie alentejana,0.015380821171891606
2,maio,2012,ida ao CasteloCastelo,0.02570861714399338
2,maio,2012,vista magnifica,0.02570861714399338
2,maio,2012,bonito,0.09568045026443411
2,maio,2012,alentejana,0.09568045026443411
2,maio,2012,ida,0.15831692877998726
2,maio,2012,CasteloCastelo,0.15831692877998726
2,maio,2012,vista,0.15831692877998726
2,maio,2012,magnifica,0.15831692877998726
2,maio,2012,cidade,0.15831692877998726
2,maio,2012,planicie,0.15831692877998726
34,maio,2012,espaco do SPA,0.0048878011234283645
34,maio,2012,excelente e adoramos,0.010584848691603003
34,maio,2012,Vila Gale Club,0.01245493930458957
34,maio,2012,SPA,0.0475269579089197
34,maio,2012,Vila Gale,0.05167050153946336
34,maio,2012,Gale Club,0.05167050153946336
34,maio,2012,Club do Campo,0.05167050153946336
34,maio,2012,filha,0.0683757535807902
34,maio,2012,vida dela,0.0716043580399365
34,maio,2012,dele desesperou,0.07707331676259696
34,maio,2012,alem disso,0.07707331676259696
34,maio,2012,procurarem o Bobi,0.07962215221423578
34,maio,2012,distracao deixei,0.08749732698053485
34,maio,2012,deixei um caozinho,0.08749732698053485
34,maio,2012,caozinho de peluche,0.08749732698053485
34,maio,2012,peluche que acompanha,0.08749732698053485
34,maio,2012,perda na vida,0.08749732698053485
34,maio,2012,doeu o coracao,0.08749732698053485
34,maio,2012,coracao e ate,0.08749732698053485
34,maio,2012,ate me senti,0.08749732698053485
35,maio,2012,ficamos nos grous,0.017652192949400538
35,maio,2012,grous,0.1172918412104555
35,maio,2012,ficamos,0.1478875074855919
35,maio,2012,lago,0.23736821109666176
35,maio,2012,varanda com vista,0.27979306667774273
35,maio,2012,garrafa de vinho,0.30576743642725185
35,maio,2012,cesto de frutas,0.30576743642725185
35,maio,2012,frutas e cafe,0.30576743642725185
35,maio,2012,espectaculo,0.315767450056912
35,maio,2012,amplo,0.40204375044248897
35,maio,2012,lareira,0.40204375044248897
35,maio,2012,redes para descansar,0.41278379232678913
35,maio,2012,folhados de maca,0.4136659327044373
35,maio,2012,frutos secos,0.4136659327044373
35,maio,2012,Oferta,0.451749121690074
35,maio,2012,vinho,0.451749121690074
35,maio,2012,cesto,0.451749121690074
35,maio,2012,cafe,0.451749121690074
35,maio,2012,Animais e parque,0.4532186396322638
35,maio,2012,criancas brincarem,0.4532186396322638
2,junho,2012,peninsula Iberica,0.009108237309423345
2,junho,2012,torre da peninsula,0.02570861714399338
2,junho,2012,vista majestosa,0.02570861714399338
2,junho,2012,Iberica,0.057012387690331526
2,junho,2012,planicie,0.09568045026443411
2,junho,2012,torre,0.15831692877998726
2,junho,2012,peninsula,0.15831692877998726
2,junho,2012,vista,0.15831692877998726
2,junho,2012,majestosa,0.15831692877998726
7,junho,2012,simpatica e disponivel,0.07796891081290885
7,junho,2012,estrelas,0.17881754828257995
7,junho,2012,disponivel,0.2005079697193566
7,junho,2012,simpatica,0.36073110501666333
33,junho,2012,antigo convento,0.014976951920073594
33,junho,2012,Paramos,0.11381829503743156
33,junho,2012,convento,0.11381829503743156
33,junho,2012,Entrada espantosa,0.11753419347526683
33,junho,2012,simpatia dos funcionarios,0.11753419347526683
33,junho,2012,antigo,0.12964482309909028
33,junho,2012,espantosa e boas-vindas,0.13153744288207578
33,junho,2012,boas-vindas muito amigavel,0.13153744288207578
33,junho,2012,amigavel da simpatia,0.13153744288207578
33,junho,2012,suite dormir,0.20379293862579784
33,junho,2012,padrao,0.21008265231744955
33,junho,2012,hotel,0.2244007076356768
33,junho,2012,jantar,0.23465820933758805
33,junho,2012,Beja e pequena,0.2364278799306995
33,junho,2012,cidade de Beja,0.2568829571408246
33,junho,2012,nao suponho,0.27045311203408867
33,junho,2012,monges queixa,0.27045311203408867
33,junho,2012,elevado padrao,0.2749348461714627
33,junho,2012,padrao decente,0.29132481271763017
33,junho,2012,unica reclamacao,0.2996447687970054
34,junho,2012,interminavel caminho cheguei,0.009721730374461912
34,junho,2012,mes de Abril,0.01454813454510751
34,junho,2012,hotel,0.034349946339934136
34,junho,2012,bastastes expetativas,0.040008308615112925
34,junho,2012,percorrer um interminavel,0.0440281118666279
34,junho,2012,interminavel caminho,0.0440281118666279
34,junho,2012,caminho cheguei,0.0440281118666279
34,junho,2012,cheguei com bastastes,0.0440281118666279
34,junho,2012,Abril,0.06982737531065379
34,junho,2012,piscina,0.07992542557445263
34,junho,2012,Abril neste hotel,0.11255388297108418
34,junho,2012,Nice,0.11822134178562144
34,junho,2012,nao,0.15889437835767184
34,junho,2012,expetativas,0.18732875573393104
