Expressao, Frequencia
"Chegamos", 0.12363091320521931
"simpatia", 0.12363091320521931
"comida", 0.12363091320521931
"atendimento", 0.12363091320521931
"Staff", 0.19677146788549632
"mesmo", 0.2005079697193566
"atenderam-nos", 0.2005079697193566
"saborosa", 0.2005079697193566
"Parabens", 0.32883716426354986
"rapida por Beja", 0.03584123589510242
"queriamos uma refeicao", 0.04385898894816642
"surpresa ao chegar", 0.04385898894816642
"passagem rapida", 0.048066361241457994
"refeicao rapida", 0.048066361241457994
"Beja", 0.0665118486285985
"agradavel surpresa", 0.1059558087431104
"rapida", 0.11187011332688697
"acabamos", 0.1416380583815529
"restaurante", 0.1416380583815529
"carne Espaco agradavel", 0.15364637035692283
"Espaco agradavel", 0.1825789688699588
"passagem", 0.20497853755709544
"queriamos", 0.20497853755709544
"refeicao", 0.20497853755709544
"passando", 0.20497853755709544
"surpresa", 0.20497853755709544
"chegar", 0.20497853755709544
"Apesar de cheio", 0.20788563136856142
"conseguiram arranjar", 0.20788563136856142
"demorado", 0.10028582371075691
"Sugiro que venham", 0.11755105063023073
"vagar para esperar", 0.11755105063023073
"comida", 0.14832923246533666
"atendimento", 0.14832923246533666
"Sugiro", 0.2790829227183407
"esperar", 0.2790829227183407
"venham", 0.37689977775222827
"tempo", 0.37689977775222827
"vagar", 0.37689977775222827
"Deixa a desejar", 0.01755237711130781
"servico.Entretanto foi-lhe Restaurante", 0.11606011196585925
"foi-lhe Restaurante acima", 0.11606011196585926
"Deixa", 0.13133775363551617
"desejar", 0.13133775363551617
"horario de funcionamento", 0.14527331236696142
"foi-lhe Restaurante", 0.16123282411646594
"Restaurante acima", 0.17285472543376773
"horario", 0.18420300896135672
"horario de abertura", 0.19002814212204072
"estabelecimento", 0.2123516569408034
"tendo sido informado", 0.2156063955437064
"foi-lhe", 0.24029285579072554
"tendo sido", 0.28387777039339585
"nao respeitou", 0.28387777039339585
"pedido que aguada-se", 0.28387777039339585
"pois os funcionarios", 0.28387777039339585
"acima da media", 0.28387777039339585
"Restaurante", 0.2889104848744487
"foi-lhe pedido", 0.3247790801993716
"restaurante", 0.11142476118001256
"alguidar fabulosas", 0.14005713113751553
"regressar", 0.16383273847958243
"servico e sopa", 0.19613242932716538
"sopa de cacao", 0.19613242932716538
"cacao e migas", 0.19613242932716538
"migas de espargos", 0.19613242932716538
"espargos com carne", 0.19613242932716538
"carne de alguidar", 0.19613242932716538
"Aconselho", 0.26303348124903125
"fabulosas", 0.3033846052649951
"servico", 0.4049347717850166
"sopa", 0.4049347717850166
"cacao", 0.4049347717850166
"migas", 0.4049347717850166
"espargos", 0.4049347717850166
"carne", 0.4049347717850166
"alguidar", 0.4049347717850166
"RECOMENDADO por Considerando", 0.004846818540646324
"possivel executar dado", 0.005293741613504959
"opcao foi-lhe sugerido", 0.005293741613504959
"horrendo nao levantei", 0.009330799674986219
"cidade de Beja", 0.011927255179684926
"clientes pretendiam nao", 0.014881524189605798
"Beja nao", 0.020432432338487645
"NAO RECOMENDADO", 0.020432432338487645
"inicial a funcionaria", 0.02066185668034559
"desilusao a funcionaria", 0.02066185668034559
"Apesar da simpatia", 0.02470262544378997
"atendimento horrendo nao", 0.02827778802974742
"simpatia do empregado", 0.029656359855120322
"empregado inicial", 0.029656359855120322
"intitula como chefe", 0.029656359855120322
"chefe de mesas", 0.029656359855120322
"levantei e abandonei", 0.029656359855120322
"pois era domingo", 0.029656359855120322
"oferta na cidade", 0.029656359855120322
"possivel executar", 0.029656359855120322
"Restaurante Espelho D"Agua", 0.001536659754450687
"Restaurante Espelho", 0.008404981530295513
"proposta em Beja", 0.010981376452115343
"Espelho D"Agua", 0.016462557677370277
"excelente proposta", 0.03249356950085711
"servico simpatico", 0.03249356950085711
"espaco agradavel", 0.047144520510864076
"vista agradavel", 0.047144520510864076
"Beja", 0.061229200828983796
"Restaurante", 0.09129581932349395
"Espelho", 0.09129581932349395
"agradavel com comida", 0.1042077586299381
"confeccionada", 0.10818430779536715
"agradavel", 0.12689355643328784
"excelente", 0.1774005791880223
"proposta", 0.1774005791880223
"D"Agua", 0.1774005791880223
"espaco", 0.1774005791880223
"comida", 0.1774005791880223
"servico", 0.1774005791880223
"Entradas fabulosas", 0.012571559314626916
"marisco divinal", 0.01859446618045681
"divinal e vinho", 0.027581485432184485
"Entradas", 0.11142476118001256
"fabulosas", 0.11142476118001256
"marisco", 0.11142476118001256
"divinal", 0.16383273847958243
"vinho", 0.16383273847958243
"carne tenra", 0.19613242932716538
"tenra e suculenta", 0.19613242932716538
"Simpatia e preco", 0.23956129807083346
"Simpatia", 0.3881970960906714
"normalidade", 0.3881970960906714
"carne", 0.4049347717850166
"tenra", 0.4049347717850166
"suculenta", 0.4049347717850166
"apresentacao", 0.4049347717850166
"preco", 0.49784754196738834
"rapido e prestavel", 0.017386682234343812
"servico foi optimo", 0.025507852905700554
"optimo", 0.1307270118629463
"rapido", 0.1307270118629463
"prestavel", 0.1307270118629463
"comida estava incrivel", 0.18228268651744198
"nao sobrou", 0.18228268651744198
"migas estavam", 0.18228268651744198
"servico", 0.19026967628231284
"mesmo cheios", 0.19949901781551133
"mesmo", 0.24237605797278117
"aliado a vista", 0.30671026542383745
"incrivel", 0.3431003426192771
"tao", 0.3431003426192771
"cheios", 0.3431003426192771
"nao", 0.3431003426192771
"estavam", 0.3431003426192771
"vista", 0.43212824916040704
"muitas", 0.43212824916040704
"comida", 0.44936882421953867
"Servico perfeito", 0.03176544073582108
"vista soberba", 0.03176544073582108
"Servico", 0.17546356713584482
"perfeito", 0.17546356713584482
"vista", 0.17546356713584482
"soberba", 0.17546356713584482
"Comida bem servida", 0.2204203164665504
"celestial", 0.3236720330598991
"bacalhau", 0.3535414173310705
"Comida", 0.42498254837802607
"servida", 0.42498254837802607
"Acorda", 0.5184872830921132
"espiritual", 0.5688923825244586
"Acorda bacalhau", 0.5788147260428033
"bacalhau espiritual", 0.6729514949998155
"carne", 0.701132735064015
"porco", 0.701132735064015
"alentejana", 0.701132735064015
"carne de porco", 0.9669052928311884
"porco a alentejana", 0.9669052928311884
"agradavel", 0.1447773057422032
"Comida bem confecionada", 0.1588666998905099
"carne servida", 0.23338172234549467
"Staff muito prestavel", 0.2704390918235917
"Merece uma visita", 0.35553610271667324
"Comida", 0.3702539456099092
"confecionada", 0.3702539456099092
"carne", 0.3702539456099092
"Staff", 0.4613789858464135
"prestavel", 0.4613789858464135
"servida", 0.5110573480904945
"Merece", 0.5121371841744414
"visita", 0.5121371841744414
"envolvente muito bonita", 0.046463069203872644
"zona envolvente", 0.07504836334843568
"excelente localizacao", 0.14937015933887896
"bonita", 0.1680456893904008
"excelente", 0.24593328989525284
"localizacao", 0.26421447795375236
"zona", 0.26421447795375236
"envolvente", 0.26421447795375236
"excelente recepcao", 0.3754814957553365
"Pratos", 0.4122906395087072
"empregados", 0.4122906395087072
"repetir", 0.5054575682917825
"confeccionados", 0.5549916791128103
"recepcao", 0.5549916791128103
"confeccionados e excelente", 0.6669412158995326
"Conforme o proprio", 0.03107735477427921
"refeicoes num espelho", 0.050888965170882816
"espelho de agua", 0.050888965170882816
"torna este restaurante", 0.050888965170882816
"restaurante agradavel", 0.050888965170882816
"Conforme", 0.13696809108329627
"diferente", 0.13696809108329627
"ementa diversificada", 0.21339268578732606
"proprio", 0.2200560909321288
"refeicoes", 0.2200560909321288
"espelho", 0.2200560909321288
"agua", 0.2200560909321288
"torna", 0.2200560909321288
"restaurante", 0.2200560909321288
"agradavel", 0.2200560909321288
"Moderno", 0.3553358554145339
"diversificada", 0.3553358554145339
"ementa", 0.4949246952252326
"deslumbrar vale", 0.5286731219590494
"vale a pena", 0.5286731219590494
"restaurante com comida", 0.03465229800090378
"comida tipica", 0.03465229800090378
"restaurante", 0.1447773057422032
"tipica", 0.1447773057422032
"comida", 0.23133275159292982
"Muita variedade", 0.2704390918235917
"vista fantastica", 0.35350894161299157
"lago", 0.3702539456099092
"Muita", 0.4613789858464135
"variedade", 0.4613789858464135
"vista", 0.5110573480904945
"fantastica", 0.5110573480904945
"atendidos", 0.5121371841744414
"contudo o potencial", 0.013017789211997392
"tinha estado", 0.01608915484116444
"estado neste restaurante", 0.01608915484116444
"restaurante a algum", 0.01608915484116444
"honestamente nao", 0.01608915484116444
"nao me cativou", 0.01608915484116444
"algum tempo", 0.033553839863937895
"decidi voltar novamente", 0.04122567157515434
"feedback decidi voltar", 0.04998622734490873
"cuidado Entradas", 0.0867462872244375
"Sopa de cacao", 0.0867462872244375
"Tira gosto", 0.0867462872244375
"Mousse de chocolate", 0.0867462872244375
"ultimos tempos", 0.09408134994467575
"tempo e honestamente", 0.10111459761968643
"Migas de espargos", 0.10143002100374299
"contudo", 0.10212203382163096
"haver tempo", 0.10404692539577738
"voltar novamente", 0.10421625064942616
"feedback decidi", 0.12497847903250235
"estacionamento no exterior", 0.012722489632138765
"exterior", 0.09775230943124207
"junto ao Tejo", 0.12517599638762167
"estacionamento", 0.1285152379216541
"carne estava deliciosa", 0.12957921353471913
"deixou a desejar", 0.22339975553391492
"desejar Um espaco", 0.22339975553391492
"espaco com explanada", 0.22339975553391492
"explanada muito agradavel", 0.22339975553391492
"vista muito bonita", 0.22339975553391492
"bonita junto", 0.22339975553391492
"toque brasileiro", 0.22339975553391492
"atendimento e simpatico", 0.23754834813203812
"Tejo", 0.26034152605821514
"carne", 0.33869541996442376
"deliciosa", 0.33869541996442376
"sangria", 0.33869541996442376
"confecionada", 0.3540967604664963
"simpatico", 0.4018581357385449
"sobremesa", 0.4273238692211767
"restaurante de Beja", 0.013797198203993007
"Tipico bom restaurante", 0.015380821171891606
"pequeno lago", 0.015380821171891606
"especialidades alentejanas", 0.02570861714399338
"alentejanas em evidencia", 0.02570861714399338
"frequentado dada", 0.02570861714399338
"dada a eficiencia", 0.02570861714399338
"eficiencia do servico", 0.02570861714399338
"Beja", 0.08596317751626563
"Tipico", 0.09568045026443411
"lago", 0.09568045026443411
"restaurante", 0.15831692877998726
"especialidades", 0.15831692877998726
"alentejanas", 0.15831692877998726
"evidencia", 0.15831692877998726
"frequentado", 0.15831692877998726
"dada", 0.15831692877998726
"eficiencia", 0.15831692877998726
"servico", 0.15831692877998726
"vista", 0.15831692877998726
"Otimo atendimento Comida", 0.0028709735794175805
"localizacao Otimo potencial", 0.0034280640082768317
"relacao qualidade preco", 0.006172028049662181
"atendimento Comida", 0.01656992656893927
"Comida bem confeccionada", 0.01656992656893927
"Otimo potencial", 0.018408549954840762
"podia ser melhor", 0.019743941211743603
"melhor explorado", 0.019743941211743603
"Otimo atendimento", 0.03053488592976728
"localizacao Otimo", 0.03053488592976728
"confeccionada Boa relacao", 0.03277825745301808
"relacao qualidade", 0.03277825745301808
"qualidade preco", 0.03277825745301808
"preco Boa localizacao", 0.03277825745301808
"Otimo", 0.08315995013132574
"Comida", 0.09149427881730993
"potencial", 0.10868092541297539
"podia", 0.10868092541297539
"explorado", 0.10868092541297539
"atendimento", 0.1781514608044755
"agradavel surpresa", 0.029193956032876094
"Jantei", 0.14475191755455702
"surpresa", 0.14475191755455702
"T-bone e Tamaoke", 0.1677286762338478
"Tamaoke divinais", 0.1677286762338478
"espaco", 0.19596178956359103
"agradavel", 0.19596178956359103
"excelentes pratos", 0.20215582144184396
"Restaurante", 0.26147475940424136
"excelente vista", 0.2629974649838212
"Tamaoke", 0.31135477757048213
"migas e acorda", 0.34184005813100765
"pratos", 0.3702061335756372
"voltarei concerteza", 0.42264705100019967
"Sobremesas ao nivel", 0.44545529651268045
"excelente", 0.4542363426706641
"excelentes", 0.4542363426706641
"Recomendo", 0.45746691006057966
"vista", 0.4584238509356684
"T-bone", 0.4613280268002667
"passagem por Beja", 0.013918491294420143
"Beja escolhemos", 0.013918491294420143
"Beja", 0.07179076644000301
"restaurante", 0.09884359947605177
"espaco", 0.12184107744687098
"agradavel", 0.13172311480596438
"almocar", 0.16345274261929985
"vista", 0.1697195974961769
"passagem", 0.1912143707699333
"escolhemos", 0.1912143707699333
"restaurante para almocar", 0.20339640486150068
"instalacoes", 0.2203527110423351
"contudo ficou", 0.22290783285141083
"escolhemos este restaurante", 0.2372540862375988
"espaco agradavel", 0.2385303340715011
"aspecto", 0.25585257869124944
"vista prometia", 0.259185048755094
"restaurante normalissimo", 0.27446341968744814
"servico", 0.27753850873079355
"Pratos", 0.30754057780340477
"saida da cidade", 0.03354994751208006
"passeio e descobrimos", 0.04906615468136384
"descobrimos este restaurante", 0.04906615468136384
"restaurante junto", 0.04906615468136384
"parque a saida", 0.04906615468136384
"cidade", 0.15009658177391405
"passeio", 0.21626666037974465
"descobrimos", 0.21626666037974465
"restaurante", 0.21626666037974465
"junto", 0.21626666037974465
"parque", 0.21626666037974465
"saida", 0.21626666037974465
"agradavel surpresa", 0.29892538215928444
"agradavel", 0.30266709513210854
"Comida excelente", 0.37593177922217497
"surpresa", 0.38017485194694417
