,Avaliações
0,"Crítica
"
1,"Não   nos   dá     o mais importante, que é o   horário das missas. Esta informação é muito importante para quem é catolico.
"
2,"Igreja de referência
"
3,"Uma das igrejas mais centrais da cidade. Serve a freguesia de São João Batista. Referir  o seu coro bastante conhecido
"
