,Avaliações
0,"Simples
"
1,"Enquanto passeia pela cidade passa por este elemento arquitetónico. No entanto, como não está assinalado, pode passar despercebido assim como toas as fachadas cobertas de azulejos
"
2,"Um espaço a visitar
"
3,"As arcadas fazem-nos entrar no túnel do tempo, um espaço arquitectónico a apreciar. Desfrute deste espaço numa das esplanadas da praça.
"
4,"Pitoresca cidade
"
5,"be ha é uma bela cidade medieval com ruas sinuosas e bela arquitetura. A praça principal com seus arcos, restaurantes e lojas é muito bonita assim como as ruas sinuosas.
"
