,Avaliações
0,"Às portas da cidade
"
1,"Quem entra em Beja pelo cemitério depara-se com esta bela ermida. Fácil visitar por fora mas não tendo a visita do seu interior.
"
2,"A primeira mesquita
"
3,"Nós passamos por este prédio no ônibus enquanto íamos para o castelo. Aparentemente foi a primeira mesquita da região e um dos primeiros lugares de culto.
"
