,Avaliações
0,"Ambiente acolhedor .
"
1,"Ficámos num quarto no pátio, um duplex. Ao entrar, ficamos num pequeno hall com uma salamandra e cadeirão à esquerda e escadas para o piso superior, onde fica a cama, à direita. À frente da porta fica a casa-de-banho. Apesar de ser tudo muito confortável, atendendo ao tamanho do quarto e às comodidades que oferece, cremos que o preço (100€/noite) poderá ser algo exagerado.
"
2,"A guest house fica a menos de um minuto a pé do Castelo de Beja, encontrando-se no centro da cidade (a qual se percorre facilmente caminhando, apesar da inclinação). O alojamento é muito limpo e bem decorado.O pequeno-almoço é extraordinário, sendo servido à mesa e não estilo buffet. Além de imensa fruta, pão e queijo, é servido (sempre acabado de fazer) bacon e ovos mexidos. A Sara, bem como as funcionárias, são super simpáticas e prestáveis. Chegámos já a uma hora tardia, pelo que a Sara nos deu atecipadamente todas as indicações para entrarmos na guest house. Quando chegámos, tínhamos à nossa espera limonada e bolo caseiro, além da lareira acesa na sala.
"
3,"Pequeno Almoço fantástico, muito bem apresentado, e as funcionárias extremamente simpáticas tal como a dona da casa a Sara, muito simpática e prestável.
"
4,"o pequeno almoço é top! Os quartos muito bons!
"
5,"tivemos uma recepção expectacular com lanche. os quartos sao lindissimos e de um conforto. o pequeno almoço feito na hora por marcação prévia. Tudo muito fresco e delicioso. recomendo muito e fica mesmo no centro.
"
6,"É um local excepcional. Muito bem desenhado e decorado. Zona interior ajardinada encantadora. Um pequeno almoço que não dava para acreditar de bom que era. Basicamente um bom brunch. 
"
7,"A mezzanine onde se encontra a cama era realmente pequena. 
"
8,"Sítio incrível e muito acolhedor. Recomendo 100%.
"
9,"Instalações muito bem conseguidas, de acordo com a arquitetura típica da região, mas com o toque de modernidade. Zona exterior muito agradável.O pequeno almoço é excelente, feito com produtos locais.Extrema simpatia e total disponibilidade de toda a equipa.Localização muito central, junto ao castelo e à Sé de Beja.
"
10,"A localização é perfeita para quem quer conhecer a cidade de Beja. O pequeno almoço é excelente, com muitos produtos locais e biológicos.
"
11,"Um pequeno almoço de qualidade 5* e muito bem servido em termos de proporções
"
