,Avaliações
0,"Decoração bonita, senhora da recepção foi extremamente simpática e solicita.
"
1,"localização 
"
2,"Nada a apontar 
"
3,"Ambiente muito agradável e acolhedor
"
4,"Da simpatia das funcionárias.
"
5,"Um pouco de barulho durante a noite. 
"
6,"Localização, pequeno almoço e preço qualidade. 
"
7,"Muito bom. Das melhores Guest House em que fiquei. Excelente relação preço-qualidade. Bom pequeno almoço (incluído no preço). Muita simpatia das recepcionistas.
"
8,"Funcionários muito simpáticos, quartos bem decorados e bastante acolhedores. 
"
9,"Atendimento nota 10. Quarto espaçoso, moderno, temático e novo. Bom café da manhã.
"
10,"Escadas um pouco íngremes e roupa da cama muito quentes sem possibilidade de retirar camadas.
"
11,"Simpatia e atenção
"
12,"Necessita melhorar o conforto dos colchões das camas.
"
13,"Pequeno almoço agradável com a quantidade e diversidade de produtos adequada.
"
14,"""Esqueceram-se"" de nos informar que tínhamos que ir buscar o pequeno almoço à salinha do lado.
"
15,"De uma forma geral nota 10. Pequeno almoço muitíssimo bom!!!! Muita variedade de tudo. Recomenda-se vivamente.
"
16,"Todo
"
17,"Tudo estava perfeito!
"
18,"Por vezes vinha mau cheiro das canalizações da casa de banho.
"
19,"A localização e a simpatia dos funcionários. Pequeno almoço apesar de pouca variedade tem muita qualidade.
"
20,"De subir uma escadaria.. Mas culpa minha por ser gorda 🤣
"
21,"Tudo!! bom espaço, bem localizado, bonita decoração (acolhedora) , quarto espaçoso, pequeno almoço variado e mto bom e staff 20* para recomendar e voltar quando for necessário 👏🙏
"
22,"A falta de parqueamento para o automóvel e as escadas de acesso aos quartos: degraus pequenos e muito íngremes.
"
23,"A localização é muito boa, no centro de Beja, perto de tudo. As funcionárias foram muito prestáveis. O quarto é muito agradável. Boa relação qualidade-preço.
"
24,"Foi maravilhoso, desde a simpatia dos funcionários até ao quarto decorado ao detalhe, e o pequeno almoço simplesmente divinal!! Obrigada por toda a atenção e desejamos todo o sucesso sempre. 
"
25,"O acesso ao 1º andar coloca algumas dificuldades a pessoas com problemas de mobilidade, tendo sido assinalada esta questão com elementos da Guest House.
"
26,"É um espaço inovador em termos de conceito e de decoração, estando de parabéns neste aspeto, sendo os quartos muito agradáveis. A localização é muito boa e central. O pequeno almoço tem muito boa qualidade  e variedade.
"
27,"estacionamento 
"
28,"cama
"
29,"O ambientador foi péssimo e deve ser tóxico. Por favor tirem isso dos quartos, o cheiro é fortíssimo. As escadas para os quartos são bastante indmgremes
"
30,"Quarto pequeno simpático no centro de Beja. O staff é atencioso.
"
31,"O pequeno almoço era variado.
"
32,"nada
"
33,"pequeno almoço e quarto
"
34,"Das escadas lol
"
35,"Pequeno almoço com pouca variedade 
"
36,"Simpatia dos funcionários ; localização 
"
