,Avaliações
0,"Bom pequeno almoço, funcionários simpáticos.
"
1,"Não ter estacionamento
"
2,"Da zona histórica onde está inserido
"
3,"Limpeza e localização.
"
4,"Quarto muito pequeno e a precisar de reparações e melhoramentos.
Pequeno almoço muito básico.
"
5,"Pequeno almoço fraco
"
6,"Boa localização
"
7,"Excelente relaçao qualidade preço.Localização óptima
"
8,"Um bom pequeno almoço, de escolha variada e boa qualidade dos produtos.
"
9,"Desrespeito de hóspedes pelas regras sanitárias
"
10,"Acolhimento e quarto 
"
11,"Tudo excelente,  o único handicap é encontrar estacionamento nas imediações do hotel
"
12,"Ar condicionado de alguns quartos bastante fraco. Insuficiente para satisfazer a necessidade devido ao calor que se faz sentir no Alentejo
"
13,"Funcionários simpáticos e atenciosos. Ótima localização , pequeno almoço bom , quartos limpos com boas áreas
"
14,"Não ter varanda, e o pequeno almoço um pouco confuso 
"
15,"Localização, simpatia, a limpeza dos quartos e a disponibilidade para os hóspedes. 
"
16,"Funcionários muitos simpáticos e prestativos. A higiene muito boa
"
17,"Não há estacionamento no hotel 
"
18,"Simpatia de todos os funcionários
"
19,"Debaixo da cama muita sujidade. 

"
20,"Tudo, menos limpeza 
"
21,"Almofadas um pouco baixas

"
22,"Simpatia e disponibilidade dos funcionários
Localização
TV
Ar condicionado 
"
23,"Não tem estacionamento.
"
24,"Do que vi gostei do resto sala de descanso e refeitório
"
25,"Essencialmente a limpeza
"
26,"A cama era confortável e o pequeno almoço foi excelente. 
"
27,"Nada a apontar, havia um comício político à porta, mas terá sido pontual, pelo que nada a refrir
"
28,"Bom pequeno almoço, boa localização, simpatia e bom conhecimento local na recepção. Uma buganvilia linda na entrada
"
29,"pequeno almoço com pouca variedade. Sala muito pequena principalmente em tempos de pandemia. 
"
30,"Boa localização e simpatia dos funcionários principalmente da funcionária Patrícia. 
"
31,"O espaço entre o lavatório e a sanita era muito pequeno.
"
32,"Embora o quarto não fosse muito grande, a cama era enorme e confortável. A limpeza era impecável e os funcionários muito simpáticos e prestáveis.
"
33,"localização optima, funcionários excelentes, limpo, agradável.
"
34,"Infelizmente o estacionamento é difícil no centro de Beja, mas consegui lugar perto do largo da igreja.
"
35,"O espaço é acolhedor, e os funcionários foram impecáveis comigo. Gostei muito do hotel. Já estive la no passado e espero voltar no futuro.
"
36,"Nada a assinalar 
"
37,"Localização, limpeza, o berço já se encontrava no quarto. 
"
38,"Localização  boa , pq almoço  muito bom
"
