,Avaliações
0,"A amabilidade das funcionarias D. Francisca e D. Dolores. Muito GENTIL!
"
1,"Da hospitalidade e simpatia dos funcionários e donos.
"
2,"Nada a dizer .
"
3,"Não tomei o pequeno almoço porque saí cedo, e não tinha marcado .A localização é muito boa, com acesso a tudo .
"
4,"Tudo
"
5,"Pequeno almoço??? Nao vi.Quarto? Com uma clarabóia para despertar com a clarear do dia, nao tinha blackout!
"
6,"De não ter pequeno almoço 
"
7,"De tudo, desde a simpatia e disponibilidade dos colaboradores, de nos porem a vontade para usar a cozinha e sala se estar, do pequeno lanche  sempre disponivel, cafe, chá, agua, bolinhos. Do espaço exterior, no meu caso o meu quarto dava para o alpendre onde tinha uma mesa com cadeiras para aproveitar ali o descanso. Um sitio maravilhoso e sem dúvida que é para voltar 😁
"
8,"Da luz que entrava na clarabóia de um dos quartos.
"
9,"Gostei principalmente da localização muito central.
"
10,"Embora o jacuzi seja bastante agradável as fotos induzem em erro (parece uma piscina maior). 
"
11,"A simpatia de todos e a limpeza impecável. 
"
12,"O conforto da cama e O barulho
"
13,"Decoração muito característica
"
14,"Houve quebras de energia que dificultafam um pouco a estadia.
Penso que devia haver manutenção dos espaços já bastante envelhecidos e dos equipamentos danificados. O meu quarto não tinha, por exemplo, toalheiros. 
"
15,"Da localização, da simpatia da equipa e do ambiente do espaço.
"
16,"O que não gostamos foi a ausência do pequeno-almoço, que teria permitido usufruir do alojamento, para além de dormir e frequentar a piscina (que mais parecia um tanque em que a água gelada e o desinfetante não aconselhavam a ali permanecer por muito tempo).Atenta a localização do alojamento, próximo da igreja, o acordar era sempre ao som do sino 🤣 às 08h00.Pelo facto do nosso quarto ser situado junto à porta de entrada do estabelecimento era nos audível o ruido provocado pela saída dos hóspedes.Nunca foi possivel aceder à internet no quarto primavera, assim como não foi possível efetuar o pagamento via multibanco por falha de rede, no entanto, a pouco metros existe um multibanco.
"
17,"O mais gostamos foi da simpatia e disponibilidade da colaboradora, bem assim como pelo facto de o alojamento ter poucos hóspedes.O alojamento tem uma decoração simpática, dispõe de máquina para tomar ou chá e cozinha equipada.A sala de estar convida a momentos de leitura em que são disponibilizados livros.
"
18,"Gostámos de tudo.
"
19,"Bem localizado, simpatia de todos os funcionários e o acolhimento do nosso gato!
"
20,"Nao tivemos pequeno almoco devido a Covid 19, mas ja conheco o servico da casa e e optimo.A casa de serpa e para mim familiar, pois no passado foi muito importante e feliz da minha vida.
"
21,"Nunca tive wi-fi no quarto.Não serviam pequeno-almoço.Bastante ruído junto ao quarto.Fechaduras muito ruidosas
"
22,"Gostei da Localização.Havia sempre lugar para o carro, perto.Funcionárias simpáticas.
"
23,"Wc muito pequeno 
"
24,"OK, aceito a ausência de pequeno almoço por causa da pandemia. Mas não tolero o problema, claro, que o quarto tinha, com ""bicho da prata"", penso devem intervir sobre a situação, apesar de compreender a dificuldade, por ser uma casa antiga, com antiguidades, etc.. 
"
25,"Localização, simpatia e disponibilidade dos proprietários, aceitarem cães. 
"
26,"O acesso ao quarto por um pátio tipicamente alentejano tinha imenso charme. Podia estar com a porta do quarto aberta para o pátio. Muito agradável mesmo.
"
27,"Nada a assinalar
"
28,"Localização. Pessoa atencioso.Bem decorado, limpo e bons espaços comuns de lazer.
"
29,"A primeira foto da propriedade induz em erro já que parece uma grande piscina mas, na realidade é muito pequena, semelhante a um jacuzzi.
"
30,"Gostámos muito da arquitetura da casa e dos tetos antigos, trabalhados e pintados. Ficámos um pouco desiludidos porque tínhamos marcado a estadia com pequeno almoço incluído e devido à pandemia não foi servido...Quanto à localização, o alojamento situa-se, num largo, numa zona central, sem muito movimento e por isso sossegado.
"
31,"Da forma como a entidade patronal tratou do meu caso e da apresentação. Sem máscara tive que chamar a atenção e no último dia veio dirigir-se a mim de chinelo calção e muito sujo. Dizendo quera um hoteleiro.
"
32,"Da livre circulação e discrição por parte dos funcionários.
"
33,"Por causa da pandemia não houve pequeno-almoço.Poderia haver um travesseira baixa.
"
34,"O colchão da cama era excelente! A limpeza também foi feita e a cama foi feita.  As almofadas eram altas, mas esse é um problema meu, pois só gosto de almofadas baixas.Tranquilo, calmo, seguro.
"
35,"a piscina um pouco maior
"
36,"nao havia pequeno almoço mas foi uma estadia muito agradavel  pessoas muito simpaticas
"
37,"Falta ar condicionadop
"
38,"Das obras em curso (no site deveriam fazer menção),do tamanho exíguo do choveiro.
"
39,"Da simpatia,do sossego,da localização.
"
