,Avaliações
0,"O quarto n.211 não se encontrava nas melhores situações, visto que o teto não estava pintado, denunciando uma grande mancha de humidade por cima da TV.
"
1,"O peq.almoço foi excecional. A localização muito boaA funcionária muito profissional. Bom atendimento
"
2,"Excelente pequeno almoçoSimpatia do staffEstabelecimento muito asseado
"
3,"casa de banho merece melhoramento 
"
4,"Bem localizado, no entanto necessita de um toque de conforto.
"
5,"Não gostei da iluminação do quarto, especialmente do WC
"
6,"Do conforto da cama, da localização e do silêncio
"
7,"Hotel amplo, confortável e bem localizado, com bom pequeno-almoço e Wifi gratuito.
"
8,"Nada a registar
"
9,"Pequeno almoço excelente não faltava nada. A simpatia dos colaboradores é de destacar.
"
10,"Casa de banho 
"
11,"Barulho da discoteca próxima do hotelTempo de espera no jantar, entre o pedido e o trazer o prato
"
12,"AcessibilidadeRecepção
"
13,"A vista para a piscina a varanda e o quarto tudo um espetáculo .
"
14,"Achamos que há pormenores a melhorar, tendo em conta tratar-se de um hotel 4 estrelas. A zona da tv não estava limpa, nem foi limpa durante a nossa estadia. Receber o comando da tv envolto num plástico também não me pareceu alinhado com a categoria de 4 estrelas. O pequeno almoço podia ter produtos regionais alentejanos.
"
15,"A localização era perto do centro e a acessos locais para visitar locais de interesse. O hotel é sossegado, os quartos bem insonorizados.
"
16,"O nosso quarto tinha vista privilegiada para o posto-de-combustível e o cheiro por vezes fazia-se sentir, no entanto isso não influenciou particularmente a nossa impressão do hotel.
Por outro lado, o que de facto nos deixou pouco impressionados, foi o facto de a limpeza não parecer ser muito criteriosa; a sanita não estava bem limpa e os lençóis, embora estivessem lavados e engomados, tinham alguns cabelos, com os quais nos deparámos ao abrir a cama. Creio que um olhar mais atento por parte do Housekeeping teria evitado esta situação.
"
17,"O quarto era decentemente espaçoso e tinha varanda. O espaço exterior está bem cuidado, e passámos um bom bocado na piscina. O pequeno almoço é muito bom, com imensa variedade.
"
18,"Hotel agradável, amplo e com um bom serviço. O pequeno almoço é bom.
"
19,"O hotel é bom. Apenas 2 funcionários. 1 na receção e outro multifunctional. Bar e restaurante. As cadeiras disponíveis na piscina não davam nem para 1/3 da capacidade do hotel. Deverão rever estas situações.

"
20,"Quarto bom. A rececionista fez o que pôde. O funcionário do bar multiplicousse por 3.
"
21,"Jantei no hotel- preços adequados, mas confecção da carne não conseguida...
"
22,"Hotel muito sossegado durante a minha estadia, bom pequeno almoço; funcionários simpáticos.
"
23,"O pequeno almoço demasiado ""Industrializado""... praticamente tudo o que se pode beber é de máquina.Estacionamento muito difícil!!!
"
24,"Boa localização, quarto grande, bom Wi-Fi, muito canais de TV.O Hotel está a necessitar de alguns ""ajustes"", nomeadamente em melhorias no WC e alguma modernização geral.O Espaço da piscina é bom, mas existe pouco controlo que permite que algumas pessoas marquem lugares com toalhas e depois, descansadamente, vão tomar o pequeno-almoço (muito feio, mas o hotel não deveria permitir).o A/C funciona muito bem.Alguma falta de cuidado na reposição das toalhas de WC...
"
25,"Quando estava a tomar banho, de repente a água diminuía o caudal e ficava a escaldar. Era um processo rítmico que acontecia na hora que a maioria das pessoas estava a tomar banho (entre as 18-20h).Nas tentativas de utilizar a piscina, não fui capaz de ficar muito tempo (menos de 2h) pois a quantidade enorme de moscas que existiam não me deixavam ficar confortável.
"
26,"Localização um pouco fora do centro de Beja, mas para um hotel daquele tamanho, era de esperar.Pequeno-almoço bom, com um staff simpático, pronto a responder às nossas exigências.Piscina razoável, mas a água um pouco fria.Corredores do quartos em alcatifa, o que abafava muito o som das pessoas a passar; excelente ideia.
"
27,"Bem localizado e com funcionários simpáticos. Hotel descuidado com instalações que não merecem as 4 estrelas
"
28,"Funcionário do restaurante nada humilde. 
"
29,"Tudo muito bom, hotel com muita qualidade. Destaco a simpatia e empatia do Senhor do Bar. O meu irmão esteve nas urgências e só conseguimos chegar ao hotel às 22:30, o restaurante fecha às 22h. Fui vá ver se ainda conseguiam arranjar algo para meu irmão. Um funcionário do restaurante não demonstrou qualquer empatia e mandou ver se conseguia alguma sande no bar. Fui ao bar e o barman super simpático e humilde foi a cozinha e conseguiu trazer me um jantar completo. 
"
30,"Pequeno almoço digno de um cinco estrelas.
"
31,"A limpeza não foi boa o quarto estava cheio de pó. 
Foram limpar durante a estadia mas não limparam nada ficou tudo igual. 
Um dos dias sem termos o papel na porta para arrumar o quarto entrou a empregada da limpeza as 9h da manhã pelo quarto a dentro sem pedir desculpa. 
Essa empregada da limpeza era muito antipática quando saímos do quarto perguntou muito arrogante ""então não vão sair hoje?""  no qual respondemos de não. 
Quando almoçamos no hotel parecia que nós estavam a fazer um favor foram o pouco desagradáveis pois o que o senhor nos disse é que havia pouca comida pois tinha o grupo de 10 pessoas. 
De resto é um bom hotel na recepção sempre foram muito simpáticos. 

"
32,"Os funcionários da recepção super simpático. 
A senhora que nos atendeu na chegada foi uma querida ajudou nos imenso. 

"
33,"Adorei 👏 tudo. A limpeza, o atendimento e a simpatia de todos.
"
34,"Wifi fraco, no quarto.Pó a mais no chão do quarto.
"
35,"Ambiente acolhedor.Zona verde e piscina.Estacionamento fácil.
"
36,"Toalhas de banho muito pequenas.
"
37,"Cama ótima, almofadas e lençois iden.Pequeno almoço variado e muito bom.Piscina otima para um mergulho de fim de tarde.Regras sanitárias e de distanciamento bem aplicadas sem que nos sintamos invadidos. Voltamos em breve!
"
38,"A zona da piscina é muito agradável. Pequeno almoço excelente. Boa insonorização dos quartos.
"
