,Avaliações
0,"A televisão e o comando não funcionavam muito bem.
"
1,"Ótima localização.
"
2,"Adoramos tudo! Excelente localização, casa com todo o conforto e tudo que é necessário para uma magnifica estadia. Anfitrião muito simpático. Recomendamos este alojamento.
"
3,"Nada a assinalar.
"
4,"A casa do Jardim tem uma excelente localização, perto de superfícies comerciais e do centro da cidade, com estacionamento fácil à porta. Casa com boas áreas, camas confortáveis, cozinha bem equipada, pátio espaçoso nas traseiras com casa de máquinas.
"
5,"Nada a apontar 
"
6,"Sr. Luís muito atencioso e preocupado para que tudo esteja bem . Top 
"
7,"Simpatia, conforto e comodidade. 
"
8,"Excelentes áreas, muito higiénico, bom espaço exterior e enorme simpatia do anfitrião
"
9,"Nada a referir.
"
10,"Limpeza
Acomodação
Área total da casa
Simpatia e disponibilidade do proprietário Sr. Luis Pontes
"
11,"Excelente anfitrião, espaço muito limpo, óptimas condições, localização perfeita. Espaço exterior muito agradável. Recomendo a 200%
"
12,"Nada a apontar
"
13,"Gostei muito da casa Gostei da localizaçãoGostei das ideias implementadas no restauroGostei da hospitalidade
"
14,"Apartamento de cima nao tinha agua quente.
"
15,"Localizacao optima com bons acessos
"
16,"Excelente relação preço/qualidade. Casa muito bem  remodelada, limpa e com quase tudo a estrear. As camas são super confortáveis.  Excelente para família com filhos ou grupo de amigos. Proprietário simpático e sempre disponível. A voltar sem dúvida. 
"
17,"A Limpeza não foi a melhor
"
18,"De realçar a localização, zona muito tranquila e perto de tudo.
Para além disto, a prestabilidade e simpatia inigualável do Sr.Luis.
"
