,Avaliações
0,"Todo o staff foi muito simpático!
"
1,"do barulho nos corredores
"
2,"do preço 
"
3,"Poderiam renovar os colchões das camas !
"
4,"A falta de bens higiénicos, copo, shampo.
"
5,"Espaço exterior privado
"
6,"A relação preço qualidade.
"
7,"O chão tinha bastante areia. E o pequeno almoço não era incrível comparado com outras pousadas de juventude.
"
8,"A localização é boa e em termos de qualidade/preço é satisfatória.
"
9,"Eram 23 horas e não conseguíamos reservar nenhum hotel e eles atenderam e mostraram toda a disponibilidade em nos acolher. 
Pequeno almoço simples mas farto.
"
10,"Localização.
"
11,"Uma vez que o quarto era para 6 pessoas penso que este devia estar equipado com mais tomadas electricas, o quarto so tinha uma tomada apesar da recepção disponibilizar uma tripla para resolver a situação.
"
12,"A organização dos balneàrios para o uso dos hospedes.
"
13,"De partilhar a casa de banho com pessoas de outro género. Não  me importo de partilhar a casa de banho com pessoas do meu género, mas se for uma casa de banho mista sinto-me desconfortável. De resto gostamos muito.
"
14,"Simpatia e disponibilidade dos empregados
"
15,"A exceção das camas
"
16,"Tudo
"
17,"Não ter TV no quarto
"
18,"Boa localização e o pequeno almoço é razoável
"
19,"WC
"
20,"Pequeno-almoço, funcionários sempre prestaveis e simpáticos
"
21,"Muito bom em todos os aspectos!
"
22,"Casa de banho partilhada mista, sem condições para o efeito 
"
23,"Localização e funcionários 
"
24,"Casas de banho sem diferenciação de género. 
"
25,"
.Como estamos no verão e como as temperaturas estão muito elevadas é lamentável não haver água fria à disposição (pois nas casas de banho, a água fria, na realidade está quente), como por exemplo numa máquina. 
. Uma das camas do quarto fazia muito barulho!
"
26,"
. Funcionários muito atenciosos.
. Quarto (0.01) muito grande.
. Tudo muito limpo.
"
27,"Quartos sem TV
"
28,"Simpatia dos funcionários, comodidades.
"
29,"O barulho dos beliches......
A limpeza do chão da zona dos duches
"
30,"Funcionários e area dos quartos
"
31,"A simpatia do atendimento.
"
32,"Não se trata de não ter gostado, mas gostaria muito mais se a funcionária que serviu o pequeno almoço tivesse a mesma simpatia, disponibilidade e cordialidade das funcionárias da recepção. 
"
33,"A simpatia das funcionárias da recepção 
"
34,"A simpatia na recepção, a limpeza, o pequeno almoço. 
Só passamos uma noite, mas foi uma noite agradável. Acho que podia ter uma TV no quarto 😉
"
