,Avaliações
0,"Monte Alentejano fantástico, muito acolhedor, silencioso, e relaxante. Os anfitriões são muito atenciosos e deixam-nos a vontade. ideal para casais que querem estar num sitio calmo. O quarto estava muito limpo e o pequeno almoço era bastante bom!
"
1,"Bonita paisagen e um excelente pequeno almoço. Anfitriã muito simpática e prestável. 
"
2,"Nada a assinalar.
"
3,"O pequeno almoço estava óptimo, a localização muito boa ,Sitio muito tranquilo ,excelente para repousar.De salientar também a simpatia e disponibilidade da D.Helena.
"
4,"A senhora ê muito amavel e prestável 
Sitio tranquilo a repetir sem duvida
"
5,"Nada a apontar
"
6,"O pequeno almoço foi excelente,a Dona Helena uma excelente anfitriã,o sitio é muito calmo,ideal para descanso,irei voltar com certeza.
"
7,"A estrada de acesso podia estar em melhor estado; o facto de ser um quarto com ligação ao corredor da casa, que não isola os ruídos da casa; o espaço exterior podia estar melhor cuidado
"
8,"O quarto é espaçoso; a cama é confortável; a casa de banho é grande e bem equipada; a piscina é boa; o pequeno almoço foi bom, embora pudesse ser mais variado; o sossego e privacidade do local.
"
9,"As condições atmosféricas não foram as melhores, mas a trovoada e a chuva também podem ser belo espetáculo! 
"
10,"Amei a hospitalidade inexcedível, os cuidados e  dedicação dos proprietários, a limpeza, a Cookie e seus companheiros... Tudo!
Fico com saudades e vontade de voltar 
"
11,"Apenas nota negativa para o acesso à Quinta. Não é realmente o melhor, com a estrada em terra batida e sem estar em boas condições.
"
12,"Desde a simpatia da proprietária (D. Helena) ao conforto e sossego da Quinta, foi tudo óptimo! Sem dúvida uma experiência a repetir.
"
13,"Nada a apontar. 
"
14,"A atenção da D.Helena. O PA era muito bom e feito no momento. As panquecas sao fantasticas e feitas no momento pela D.Helena. Experiência a repetir em periodo de verao para usufruir da piscina. 
"
15,"Nada indicar 
"
16,"Dos donos da casa, pequeno almoço impecável, dos animais dos espaço da casa e do quarto. 
"
17,"Simpática, acolhimento, conforto do quarto, limpeza, tudo impecável. Nem falando do pequeno almoço espetacular com tudo fresco e saboroso. Muito obrigada, a voltar 
"
18,"Atendimento fantástico
"
19,"O caminho de acesso a propriedade, contudo quando lá chegámos compensa bastante. 
"
20,"A propriedade é linda, a Sra Helena é fantástica, a piscina maravilhosa e os cães são super fofinhos. O quarto é bastante aconchegante e bonito. O pequeno almoço é caseiro e super delicioso! É óptimo para descansar e recarregar baterias! 
"
21,"Fomos muito bem recebidos tanto pelo casal como pelos seus animais! Foi uma surpresa os amigos de 4 patas, que nos fizeram sentir em casa. O pequeno almoço estava divinal! Uma experiência a repetir.
"
22,"Um espaço que não é um hotel, mas é muito melhor do que isso.
Um espaço muito acolhedor e familiar. Não esquecer que a D. Helena, recebe mesmo muito bem e os seus pequeno-almoços são fantásticos (afinal de contas as panquecas são mesmo muito boas).
Para quem quiser descansar, vale a pena, mesmo a pena.
"
23,"Tudo
"
24,"Não gostei da falta de indicação e acesso ao Alojamento.
"
25,"O pequeno almoço foi normal.
"
26,"Gostei do atendimento, foi como se tivéssemos na nossa própria casa. Recomendo 😊
"
27,"Cama confortável, piscina agradável. Quarto espaçoso e limpo.
O sossego da zona, um céu estrelado único. A simpatia e preocupação da d. Helena e um simpático pequeno-almoço com panquecas fantásticas. Os cães da propriedade são amorosos.
"
28,"Cheiro forte na casa de banho.
"
29,"Todos os demais ítens
"
30,"O acesso em terra batida não é bom.
O espaço no geral podia estar mais cuidado. 
O quarto não tem televisão.
"
31,"Tranquilidade do local. 
O pequeno-almoço servido de forma caseira. 
 Proximidade entre a localidade rural e o centro de Beja. 
"
32,"A simpatia da Dona Helena conquista-nos imediatamente. Recebe-nos dentro de sua casa e logo nos sentimos como se fizéssemos parte da família. O quarto (suite) é espaçoso, a casa de banho proporcionalmente enorme. Um pequeno almoço fantástico. Experiência de alojamento a repetir sempre que o destino o permita. Não se assustem com os ""patudos"" que por ali andam, são gentis gigantes de 4 patas que nos recebem com os seu ladrar mas logo nos rodeiam para afagos e brincadeira.
"
33,"As panquecas feitas pela do D. Helena. Deliciosas
"
34,"Nada a apontar.
"
35,"Quarto grande e confortável e da amabilidade e simpatia no acolhimento. 
"
36,"Senti-me em casa, com um pequeno almoço muito atencioso. Monte próximo ao centro de Beja mas afastado o suficiente para se sentir em profundo relaxamento. Gostámos muito. A simpatia e atenção da Srª Helena foi top. Iremos voltar pelo Verão.
"
